name,twin,wildfire,opposition,reanimator,cheat,artifacts,storm,stax,burn,stoneforge,armageddon,skullclamp,counterburn,pox,monowhite,monored,naturalorder,edric,reveillark,spellsmatter,pod,oath,fivecolor,balance,moat,upheaval,mentor,abyss,crucible,superfriends,survival,blink,tokens,channel
Sensei's Divining Top,0,0.5681818181818182,0.6574621959237343,0.3391363328057879,1.443418013856813,1.1595547309833023,1.7667844522968197,0,0,0.2840909090909091,0.2810567734682406,0,0,0,0,0.38080731150038083,0.415973377703827,0,0,0.6640106241699867,0,0,10.204081632653061,1.786777843954735,3.680336487907466,0.8017103153393907,8.771929824561404,0,0,1.2062726176115801,0,0,0,0
Bloodstained Mire,1.6003657978966621,2.272727272727273,0.32873109796186717,1.6956816640289396,0.28868360277136257,1.6233766233766234,1.7667844522968197,1.6357688113413305,1.4836795252225519,0.8522727272727273,1.405283867341203,1.4184397163120568,0,0,0,0.7616146230007617,0,0.6915629322268326,0.37285607755406414,1.9920318725099602,0,1.7182130584192439,10.204081632653061,0.5955926146515783,1.0515247108307044,0.8017103153393907,4.385964912280702,0,0,3.0156815440289506,0.9345794392523364,0,1.7772511848341233,0.4835589941972921
Dire Fleet Daredevil,0.6858710562414266,1.1363636363636365,0,0.11304544426859597,0.28868360277136257,0,0,0.5452562704471101,2.9673590504451037,0,0.2810567734682406,0.2364066193853428,3.2679738562091503,0,0,2.6656511805026657,0,0,0,0.6640106241699867,0,0,10.204081632653061,0,0,0,0,0,0,0,0,0,0.5924170616113744,0.4835589941972921
Mox Diamond,0.9144947416552355,1.1363636363636365,1.3149243918474687,0.7913181098801718,2.020785219399538,2.0871985157699444,0,1.6357688113413305,1.4836795252225519,2.272727272727273,2.2484541877459248,2.127659574468085,0,0,0.4830917874396135,1.1424219345011424,1.4559068219633944,4.149377593360996,3.3557046979865772,1.3280212483399734,1.557632398753894,3.4364261168384878,10.204081632653061,2.9779630732578917,1.5772870662460567,1.8706574024585783,0,15.151515151515152,2.717391304347826,2.4125452352231602,2.5700934579439254,2.8735632183908044,1.7772511848341233,2.4177949709864603
Condescend,0.6858710562414266,1.1363636363636365,1.3149243918474687,1.1304544426859597,1.1547344110854503,1.391465677179963,0,0,2.9673590504451037,0.2840909090909091,0,0.2364066193853428,6.5359477124183005,0,0,0,0,0.6915629322268326,0.7457121551081283,1.9920318725099602,0,0,10.204081632653061,2.084574151280524,2.103049421661409,1.8706574024585783,0,0,0,0,0,2.8735632183908044,0,0
Damnation,0.22862368541380887,0.5681818181818182,0,1.3565453312231517,0,0.9276437847866419,0,0,0,0,0.2810567734682406,0,0,0,0,0,0,0,0,1.3280212483399734,0,1.7182130584192439,10.204081632653061,0.29779630732578916,0.5257623554153522,0.2672367717797969,0,0,0,0,0,0,0,0
Bayou,0.22862368541380887,0.5681818181818182,0.9861932938856016,1.2434998869545557,1.1547344110854503,0,0,1.6357688113413305,0,0.8522727272727273,0.2810567734682406,0.9456264775413712,0,0,0,0,0.415973377703827,1.3831258644536653,1.1185682326621924,0,1.557632398753894,3.4364261168384878,10.204081632653061,0.29779630732578916,0,0.2672367717797969,0,0,2.717391304347826,1.8094089264173703,0.7009345794392523,0,0.5924170616113744,2.4177949709864603
Battlefield Forge,0.6858710562414266,1.7045454545454546,0,0,0,0.23191094619666047,0,0,0,0.2840909090909091,1.967397414277684,0.2364066193853428,0,0,0,0,0,0,0.37285607755406414,1.9920318725099602,1.557632398753894,0,10.204081632653061,0.5955926146515783,0,0,0,0,0,1.2062726176115801,0.2336448598130841,0,0.5924170616113744,0
Kolaghan's Command,0.6858710562414266,1.7045454545454546,0,0.4521817770743839,0.5773672055427251,0.46382189239332094,0,0.5452562704471101,0,0,0,0.4728132387706856,0,0,0,0,0,0,0,0.6640106241699867,0,0,10.204081632653061,0.5955926146515783,0.5257623554153522,0.5344735435595938,0,0,0,0.6031363088057901,0,0,0.5924170616113744,0
Sulfurous Springs,0.22862368541380887,0.5681818181818182,0.6574621959237343,0.7913181098801718,0.8660508083140878,0.6957328385899815,0,0,0,0,1.1242270938729624,0.2364066193853428,0,0,0,0,0,0,0,0,0,3.4364261168384878,10.204081632653061,0.29779630732578916,0,0.8017103153393907,0,0,0,1.2062726176115801,0,0,0.5924170616113744,0.9671179883945842
