date,color,decksBefore,numbefore,pct_of_decks
2017-12-03,red,22,44,50
2017-12-04,red,22,46,47.82608695652174
2017-12-05,red,24,49,48.97959183673469
2017-12-07,red,25,50,50
2017-12-10,red,26,51,50.98039215686274
2017-12-14,red,27,52,51.92307692307692
2017-12-15,red,28,53,52.83018867924528
2017-12-16,red,30,55,54.54545454545455
2017-12-17,red,33,58,56.89655172413793
2017-12-18,red,33,59,55.932203389830505
2017-12-20,red,34,60,56.666666666666664
2017-12-22,red,35,61,57.377049180327866
2017-12-23,red,36,62,58.064516129032256
2017-12-25,red,39,65,60
2017-12-28,red,40,66,60.60606060606061
2017-12-29,red,41,67,61.19402985074627
2017-12-30,red,41,68,60.294117647058826
2018-01-01,red,41,69,59.42028985507246
2018-01-04,red,42,70,60
2018-01-05,red,43,72,59.72222222222222
2018-01-09,red,43,73,58.9041095890411
2018-01-15,red,43,75,57.333333333333336
2018-01-20,red,44,77,57.142857142857146
2018-01-21,red,46,80,57.5
2018-01-25,red,46,81,56.79012345679013
2018-01-27,red,46,82,56.09756097560975
2018-02-03,red,46,83,55.42168674698795
2018-02-05,red,46,84,54.76190476190476
2018-02-08,red,47,85,55.294117647058826
2018-02-09,red,47,86,54.651162790697676
2018-02-10,red,48,87,55.172413793103445
2018-02-11,red,48,89,53.93258426966292
2018-02-17,red,49,90,54.44444444444444
2018-02-23,red,49,92,53.26086956521739
2018-02-24,red,50,93,53.763440860215056
2018-02-25,red,50,94,53.191489361702125
2018-03-03,red,50,95,52.63157894736842
2018-03-04,red,50,96,52.083333333333336
2018-03-09,red,50,97,51.54639175257732
2018-03-10,red,51,99,51.515151515151516
2018-03-11,red,51,100,51
2018-03-17,red,52,105,49.523809523809526
2018-03-23,red,53,106,50
2018-03-24,red,53,109,48.62385321100918
2018-03-25,red,53,111,47.747747747747745
2018-03-28,red,54,112,48.214285714285715
2018-03-31,red,56,114,49.12280701754386
2018-04-01,red,57,118,48.30508474576271
2018-04-02,red,57,119,47.89915966386555
2018-04-04,red,58,120,48.333333333333336
2018-04-07,red,59,123,47.96747967479675
2018-04-08,red,61,125,48.8
2018-04-11,red,62,126,49.20634920634921
2018-04-12,red,63,127,49.60629921259842
2018-04-14,red,64,129,49.6124031007752
2018-04-15,red,64,130,49.23076923076923
2018-04-16,red,64,131,48.85496183206107
2018-04-17,red,65,133,48.87218045112782
2018-04-21,red,67,135,49.629629629629626
2018-04-22,red,70,138,50.72463768115942
2018-04-27,red,71,140,50.714285714285715
2018-04-28,red,72,142,50.70422535211268
2018-05-01,red,72,144,50
2018-05-03,red,72,145,49.6551724137931
2018-05-12,red,73,146,50
2018-05-13,red,74,148,50
2018-05-19,red,76,152,50
2018-05-20,red,77,153,50.326797385620914
2018-05-25,red,78,154,50.64935064935065
2018-05-26,red,80,156,51.282051282051285
2018-05-31,red,80,157,50.955414012738856
2018-06-01,red,81,159,50.943396226415096
2018-06-02,red,83,161,51.5527950310559
2018-06-03,red,83,162,51.23456790123457
2018-06-04,red,84,163,51.533742331288344
2018-06-05,red,84,164,51.21951219512195
2018-06-06,red,84,166,50.602409638554214
2018-06-08,red,86,168,51.19047619047619
2018-06-09,red,88,170,51.76470588235294
2018-06-10,red,89,171,52.046783625730995
2018-06-11,red,90,172,52.325581395348834
2018-06-13,red,90,174,51.724137931034484
2018-06-16,red,90,176,51.13636363636363
2018-06-17,red,91,177,51.41242937853107
2018-06-20,red,92,178,51.68539325842696
2018-06-22,red,93,179,51.95530726256983
2018-06-23,red,93,182,51.0989010989011
2018-06-24,red,94,183,51.36612021857923
2018-06-30,red,96,186,51.61290322580645
2018-07-01,red,96,188,51.06382978723404
2018-07-04,red,98,190,51.578947368421055
2018-07-06,red,99,192,51.5625
2018-07-07,red,100,194,51.54639175257732
2018-07-08,red,100,195,51.282051282051285
2018-07-09,red,101,196,51.53061224489796
2018-07-10,red,102,197,51.776649746192895
2018-07-11,red,102,199,51.256281407035175
2018-07-12,red,102,200,51
