deckID,colors,baseColors,splashes,sphere,archetype,deckName,date,cubeType
1,red green blue black white,red blue black,green white,control,fivecolor,(WUBRG) 5 Color Control 11.6.18.txt,2018-11-06,Vintage Unpowered
2,blue black white,blue white,black,control,-,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,2018-04-15,Vintage Unpowered
3,green black white,white,green black,aggro,-,Abzan (BGW) Aggro 6.16.18.txt,2018-06-16,Vintage Unpowered
4,green white,white,green,aggro,-,Abzan (BGW) Aggro.txt,2019-10-12,Vintage Unpowered
5,green black white,black white,green,aggro,-,Abzan (BGW) Attrition Aggro.txt,2017-12-03,Vintage Unpowered
6,green black white,black white,green,midrange,pod,Abzan (BGW) Birthing Pod Midrange.txt,2019-02-17,Vintage Unpowered
7,green black white,white,green black,midrange,-,Abzan (BGW) Jank Midrange 7.1.18.txt,2018-07-01,Vintage Unpowered
8,green black white,green white,black,midrange,-,Abzan (BGW) Junk Midrange [WOTC Vintage].dck.txt,2020-09-12,WOTC Vintage
9,green black white,green black white,-,midrange,-,Abzan (BGW) Junk Midrange [WOTC Vintage].txt,2020-09-12,WOTC Vintage
10,green black white,black,green white,aggro,stax  crucible,Abzan (BGW) Loam Excavator Stax Aggro.txt,2017-12-03,Vintage Unpowered
11,green black white,green black white,-,midrange,-,Abzan (BGW) Meren Midrange.txt,2021-01-31,Vintage Unpowered
12,green black white,green white,black,midrange,-,Abzan (BGW) Midrange 2.txt,2017-12-03,Vintage Unpowered
13,green black white,black white,green,midrange,-,Abzan (BGW) Midrange [WOTC Vintage].txt,2019-09-15,WOTC Vintage
14,green black white,green white,black,midrange,-,Abzan (BGW) Midrange.txt,2019-09-03,Vintage Unpowered
15,green white,green,white,midrange,naturalorder,Abzan (BGW) Natural Order Midrange.txt,2019-08-18,Vintage Unpowered
16,green black white,green black white,-,midrange,skullclamp,Abzan (BGW) Ramunap Vraska Skullclamp Loam Midrange.txt,2019-10-12,Vintage Unpowered
17,green black white,green black white,-,combo,reanimator,Abzan (BGW) Reanimator Combo [WOTC Vintage].txt,2020-07-03,WOTC Vintage
18,green black white,green black,white,midrange,reanimator,Abzan (BGW) Recurring Nightmare Midrange 6.23.18.txt,2018-06-23,Vintage Unpowered
19,green black white,green,black white,midrange,reanimator,Abzan (BGW) Recurring Nightmare Midrange.txt,2017-12-03,Vintage Unpowered
20,green black white,green black white,-,midrange,reanimator  reveillark,Abzan (BGW) Recurring Nightmare Reveillark Midrange.txt,2019-04-12,Vintage Unpowered
21,green black white,green black,white,midrange,reanimator  survival,Abzan (BGW) Recurring Nightmare Survival Midrange 9.15.18.txt,2018-09-15,Vintage Unpowered
22,green black white,green black,white,midrange,reveillark  survival,Abzan (BGW) Recurring Survival Reveillark Midrange Shenanigans 3.28.18.txt,2018-03-25,Vintage Unpowered
23,green black white,green white,black,midrange,reveillark,Abzan (BGW) Reveillark Goodstuff Midrange.txt,2020-03-20,Vintage Unpowered
24,green black white,green white,black,midrange,reveillark,Abzan (BGW) Reveillark Midrange.txt,2019-04-12,Vintage Unpowered
25,green black white,green black,white,midrange,reanimator  reveillark,Abzan (BGW) Reveillark Recurring Nightmare Midrange 10.27.18.txt,2018-10-27,Vintage Unpowered
26,green black white,green white,black,midrange,reveillark  survival  blink,Abzan (BGW) Reveillark Survival Blink Midrange Shenanigans 3.25.18.txt,2018-03-25,Vintage Unpowered
27,green black white,green black white,-,midrange,reveillark  survival,Abzan (BGW) Reveillark Survival Midrange 6.23.18.txt,2018-06-23,Vintage Unpowered
28,green black white,black white,green,midrange,skullclamp,Abzan (BGW) Skullclamp Midrange [WOTC Vintage].txt,2020-09-12,WOTC Vintage
29,green black white,black white,green,midrange,reanimator  skullclamp,Abzan (BGW) Skullclamp Recurring Nightmare Midrange.txt,2019-02-10,Vintage Unpowered
30,green black white,green black,white,midrange,skullclamp  survival,Abzan (BGW) Skullclamp Recurring Survival Midrange 11.12.18 [WOTC Vintage].txt,2018-11-12,WOTC Vintage
31,green black white,green black white,-,midrange,stoneforge,Abzan (BGW) Stoneforge Midrange [Vintage].txt,2020-07-03,Vintage Powered
32,green black white,green black white,-,midrange,stoneforge,Abzan (BGW) Stoneforge Midrange.txt,2020-03-20,Vintage Unpowered
33,green black white,black white,green,midrange,stoneforge  superfriends,Abzan (BGW) Stoneforge Superfriends Midrange.txt,2020-01-12,Vintage Unpowered
