name,color,cmc,manaCost,types,count,pips,colorType,colordiff,cmcdiff,pipdiff,colortypediff,power,newcc
Abbot of Keral Keep,Red,2,{1}{R},Creature,37,1,Monocolored,0.625805502213717,0.690371351684591,0.583783812103133,0.583943600026864,2.483904266028305,1.3196074359513092
Abrade,Red,2,{1}{R},Instant,72,1,Monocolored,1.99131065870745,2.0770815557556,1.86894933916309,1.86912645610289,7.806468009729031,1.1636559954380088
Abrupt Decay,Black Green,2,{B}{G},Instant,24,2,Multicolored,0.523445373147882,0.175307561601075,0.168822665860761,0.523445373147881,1.391020973757599,0.9274470162136831
Abyssal Persecutor,Black,4,{2}{B}{B},Creature,1,2,Monocolored,-0.707692693506575,-0.68911774372335,-0.722774289905804,-0.737958766222766,-2.857543493358495,0.06880589043978722
Abzan Battle Priest,White,4,{3}{W},Creature,1,1,Monocolored,-0.753443374814202,-0.68911774372335,-0.738100730015682,-0.737958766222766,-2.918620614776,0
Acclaimed Contender,White,3,{2}{W},Creature,1,1,Monocolored,-0.753443374814202,-0.730386837733485,-0.738100730015682,-0.737958766222766,-2.959889708786135,0
Accorder Paladin,White,2,{1}{W},Creature,34,1,Monocolored,0.289402090988237,0.571510477049934,0.473626766926565,0.473785069506061,1.808324404470797,1.224998860056314
Acidic Slime,Green,5,{3}{G}{G},Creature,57,2,Monocolored,1.25604861335233,1.5963913549467,1.44807047196062,1.31833380349888,5.61884424375853,1.446339449746087
Adanto Vanguard,White,2,{1}{W},Creature,91,1,Monocolored,2.09068062282881,2.82986709510843,2.56661062528136,2.56679714940131,10.05395549261991,2.0184935995328064
Adorned Pouncer,White,2,{1}{W},Creature,9,1,Monocolored,-0.50063235280149,-0.418996811572213,-0.444348609544834,-0.444202684833959,-1.8081804587524961,0.46744396273257355
Aerial Responder,White,3,{1}{W}{W},Creature,1,2,Monocolored,-0.753443374814202,-0.730386837733485,-0.722774289905804,-0.737958766222766,-2.944563268676257,0.3150232385859981
Aether Adept,Blue,3,{1}{U}{U},Creature,1,2,Monocolored,-0.6944940557187,-0.730386837733485,-0.722774289905804,-0.737958766222766,-2.885613949580755,0.3432993787599506
Aether Chaser,Red,2,{1}{R},Creature,9,1,Monocolored,-0.466598622981266,-0.418996811572213,-0.444348609544834,-0.444202684833959,-1.774146728932272,0.478050314868668
Aetherling,Blue,6,{4}{U}{U},Creature,29,2,Monocolored,0.398446954594816,0.480986842788987,0.362648091027406,0.290187518638057,1.532269407049266,0.7781421297796192
Aethersphere Harvester,Colorless,3,{3},Artifact,4,0,Colorless,-0.797369955806306,-0.610342824618313,-0.818519849486067,-0.797369955806306,-3.0236025857169917,0
Agonizing Remorse,Black,2,{1}{B},Sorcery,6,1,Monocolored,-0.511391021765775,-0.53785768620687,-0.554505654721402,-0.554361215354762,-2.158115578048809,0.35132018043128016
Ahn-Crop Crasher,Red,3,{2}{R},Creature,2,1,Monocolored,-0.739699654280012,-0.690372166695094,-0.701381714956826,-0.701239256049165,-2.8326927919810974,0
Ainok Survivalist,Green,2,{1}{G},Creature,1,1,Monocolored,-0.776689644040648,-0.735959143931299,-0.738100730015682,-0.737958766222766,-2.988708284210395,0.005629979774823864
Ajani Goldmane,White,4,{2}{W}{W},Legendary Planeswalker,1,2,Monocolored,-0.753443374814202,-0.68911774372335,-0.722774289905804,-0.737958766222766,-2.903294174666122,0
Ajani Vengeant,Red White,4,{2}{R}{W},Legendary Planeswalker,60,2,Multicolored,2.43016135025491,1.39523988188871,1.5643657270606,2.43016135025491,7.819928309459129,0.7261942853614536
"Ajani, Adversary of Tyrants",White,4,{2}{W}{W},Legendary Planeswalker,2,2,Monocolored,-0.721841997062613,-0.653789648373993,-0.684009204872475,-0.701239256049165,-2.760880106358246,0
"Ajani, Mentor of Heroes",Green White,5,{3}{G}{W},Legendary Planeswalker,1,2,Multicolored,-0.694734278892719,-0.713963972815357,-0.722774289905804,-0.694734278892721,-2.826206820506601,0
"Ajani, the Greathearted",Green White,4,{2}{G}{W},Legendary Planeswalker,3,2,Multicolored,-0.588805613497884,-0.618461553024636,-0.645244119839146,-0.588805613497886,-2.441316899859552,0
Akoum Hellhound,Red,1,{R},Creature,2,1,Monocolored,-0.739699654280012,-0.830027880039976,-0.701381714956826,-0.701239256049165,-2.972348505325979,0.7068782241539002
"Alesha, Who Smiles at Death",Red,3,{2}{R},Legendary Creature,18,1,Monocolored,-0.115468725597164,-0.0501374300808409,-0.11387747401513,-0.113727093271552,-0.3932107229646869,0.4289188565033736
Alseid of Life's Bounty,White,1,{W},Enchantment Creature,2,1,Monocolored,-0.721841997062613,-0.830027880039976,-0.701381714956826,-0.701239256049165,-2.95449084810858,0.7156467325359089
Ammit Eternal,Black,3,{2}{B},Creature,2,1,Monocolored,-0.668432359158415,-0.690372166695094,-0.701381714956826,-0.701239256049165,-2.7614254968595002,0
"Anafenza, Kin-Tree Spirit",White,2,{W}{W},Legendary Creature,4,2,Monocolored,-0.658639241559435,-0.617098269296642,-0.606479034805817,-0.627800235701964,-2.510016781363858,0.9122759709503483
"Anax, Hardened in the Forge",Red,3,{1}{R}{R},Legendary Enchantment Creature,4,2,Monocolored,-0.661670788194656,-0.610342824618313,-0.606479034805817,-0.627800235701964,-2.5062928833207496,0.5083052970809162
Ancestral Blade,White,2,{1}{W},Artifact,1,1,Monocolored,-0.753443374814202,-0.735959143931299,-0.738100730015682,-0.737958766222766,-2.9654620149839492,0
Ancestral Recall,Blue,1,{U},Instant,48,1,Monocolored,1.14008549730756,0.708745267431395,0.987692977750549,0.987858211936473,3.824381954425977,1.0789062782059842
Ancestral Vision,Blue,1,NA,Sorcery,32,1,Monocolored,0.515547777128406,0.173519824832657,0.400188736808853,0.400346049158859,1.4896023879287752,0.7715889748288378
Ancient Grudge,Red,2,{1}{R},Instant,21,1,Monocolored,0.00157457353087046,0.0564466869664176,-0.00372042883856247,-0.00356856275074956,0.05073226890797603,0.23323887539950475
Ancient Stirrings,Green,1,{G},Sorcery,1,1,Monocolored,-0.776689644040648,-0.863479470202397,-0.738100730015682,-0.737958766222766,-3.116228610481493,0
Ancient Stone Idol,Colorless,10,{10},Artifact Creature,12,ramp/cheat,Colorless,-0.496504303115218,-0.404139167887125,-0.366164071909489,-0.496504303115218,-1.76331184602705,0
Angel of Invention,White,5,{3}{W}{W},Creature,74,2,Monocolored,1.5534572010518,2.29774922230303,2.10707691752721,1.94256547645009,7.90084881733213,1.6410023771219482
Angel of Sanctions,White,5,{3}{W}{W},Creature,21,2,Monocolored,-0.121415819782421,0.111162929956805,0.0525274107607746,-0.00356856275074956,0.038705958184409056,0.7008585629135964
Angel of Serenity,White,7,{4}{W}{W}{W},Creature,27,3,Monocolored,0.0681924467271134,0.246374888998995,0.757172175557793,0.216748498290855,1.2884880095747564,0.9914228013934241
Anger of the Gods,Red,3,{1}{R}{R},Sorcery,1,2,Monocolored,-0.77871408732269,-0.730386837733485,-0.722774289905804,-0.737958766222766,-2.969833981184745,0
Angrath's Rampage,Black Red,2,{B}{R},Sorcery,23,2,Multicolored,0.470481040450464,0.135687270056189,0.130057580827432,0.470481040450464,1.2067069317845491,0.9128152352789616
Anguished Unmaking,Black White,3,{1}{W}{B},Instant,29,2,Multicolored,0.788267036634971,0.390023951341458,0.362648091027406,0.788267036634969,2.329206115638804,0.7932010478682133
Animate Dead,Black,2,{1}{B},Enchantment,81,1,Monocolored,2.43313405434622,2.43366417965957,2.1994204746928,2.1996020476653,9.26582075636389,1.964719338823578
Ankh of Mishra,Colorless,2,{2},Artifact,1,0,Colorless,-0.910194575565464,-0.735959143931299,-0.928797593943491,-0.910194575565464,-3.485145889005718,0
Apex Altisaur,Green,9,{7}{G}{G},Creature,1,ramp/cheat,Monocolored,-0.776689644040648,-1.01967420820751,-0.892244697673327,-0.737958766222766,-3.426567316144251,0
Applied Biomancy,Green Blue,2,{G}{U},Instant,1,2,Multicolored,-0.694734278892719,-0.735959143931299,-0.722774289905804,-0.694734278892721,-2.8482019916225427,0.03657829752806007
Approach of the Second Sun,White,7,{6}{W},Sorcery,4,1,Monocolored,-0.658639241559435,-0.855468364579843,-0.627943684839114,-0.627800235701964,-2.769851526680356,0
Arachnogenesis,Green,3,{2}{G},Instant,1,1,Monocolored,-0.776689644040648,-0.730386837733485,-0.738100730015682,-0.737958766222766,-2.983135978012581,0
Arbor Elf,Green,1,{G},Creature,67,1,Monocolored,1.61903758788679,1.3443254805174,1.68535426386881,1.68552890523489,6.33424623750789,2.427828783072388
Arc Lightning,Red,3,{2}{R},Sorcery,37,1,Monocolored,0.625805502213717,0.710141319648585,0.583783812103133,0.583943600026864,2.503674233992299,0.4059548860130223
Arc Trail,Red,2,{1}{R},Sorcery,61,1,Monocolored,1.56215189523799,1.64125834876185,1.46504017351568,1.46521184419328,6.1336622617088,1.0236787942230876
Arcane Artisan,Blue,3,{2}{U},Creature,18,1,Monocolored,-0.0309227280283509,-0.0501374300808409,-0.11387747401513,-0.113727093271552,-0.3086647253958738,0.4471049600074255
Arcane Denial,Blue,2,{1}{U},Instant,34,1,Monocolored,0.5936149921508,0.571510477049934,0.473626766926565,0.473785069506061,2.11253730563336,0.5755646833990649
Archaeomancer,Blue,4,{2}{U}{U},Creature,1,2,Monocolored,-0.6944940557187,-0.68911774372335,-0.722774289905804,-0.737958766222766,-2.84434485557062,0.07494750812982244
Archangel Avacyn,White,5,{3}{W}{W},Legendary Creature,67,2,Monocolored,1.33224755679068,2.00895480633278,1.8357213222939,1.68552890523489,6.86245259065225,1.5570874354808597
Archangel of Thune,White,5,{3}{W}{W},Creature,5,2,Monocolored,-0.627037863807846,-0.548938592260925,-0.567713949772488,-0.591080725528363,-2.3347711313696218,0.06399920146725102
Archfiend of Depravity,Black,5,{3}{B}{B},Creature,1,2,Monocolored,-0.707692693506575,-0.713963972815357,-0.722774289905804,-0.737958766222766,-2.882389722450502,0
Archfiend of Ifnir,Black,5,{3}{B}{B},Creature,1,2,Monocolored,-0.707692693506575,-0.713963972815357,-0.722774289905804,-0.737958766222766,-2.882389722450502,0
Arguel's Blood Fast,Black,2,{1}{B},Legendary Enchantment,11,1,Monocolored,-0.315089350024976,-0.339756228482441,-0.370910579427122,-0.370763664486758,-1.3965198224212971,0.5887529139272233
Arlinn Kord,Green Red,4,{2}{R}{G},Legendary Planeswalker,4,2,Multicolored,-0.535841280800466,-0.583133457675279,-0.606479034805817,-0.535841280800468,-2.26129505408203,0
Armadillo Cloak,Green White,3,{1}{G}{W},Enchantment,1,2,Multicolored,-0.694734278892719,-0.730386837733485,-0.722774289905804,-0.694734278892721,-2.842629685424729,0
Armageddon,White,4,{3}{W},Sorcery,78,1,Monocolored,1.67986271205815,2.03114559817714,2.08926342951623,2.0894435171445,7.889715256896019,0.7646702572460007
Armory of Iroas,Colorless,2,{2},Artifact,1,0,Colorless,-0.910194575565464,-0.735959143931299,-0.928797593943491,-0.910194575565464,-3.485145889005718,0
As Foretold,Blue,3,{2}{U},Enchantment,1,1,Monocolored,-0.6944940557187,-0.730386837733485,-0.738100730015682,-0.737958766222766,-2.900940389690633,0
Ash Zealot,Red,2,{R}{R},Creature,10,2,Monocolored,-0.427584189938588,-0.379376520027327,-0.373888524605843,-0.407483174660359,-1.588332409232117,1.227201201310143
Ashen Rider,Black White,8,{4}{W}{W}{B}{B},Creature,13,ramp/cheat,Multicolored,-0.0591622865237108,-0.348181436948907,-0.318338560476413,-0.059162286523711,-0.7848445704727419,0
"Ashiok, Dream Render",Colorless,3,{1}{U/B}{U/B},Legendary Planeswalker,1,0,Colorless,-0.910194575565464,-0.730386837733485,-0.928797593943491,-0.910194575565464,-3.479573582807904,0
"Ashiok, Nightmare Muse",Black Blue,5,{3}{U}{B},Legendary Planeswalker,2,2,Multicolored,-0.641769946195301,-0.672707627676749,-0.684009204872475,-0.641769946195303,-2.640256724939828,0
"Ashiok, Nightmare Weaver",Black Blue,3,{1}{U}{B},Legendary Planeswalker,21,2,Multicolored,0.364552375055629,0.0699065830343317,0.0525274107607746,0.364552375055629,0.8515387439063643,0.6806197758474174
Assassin's Trophy,Black Green,2,{B}{G},Instant,42,2,Multicolored,1.4768033617014,0.888472809409021,0.866594196460682,1.4768033617014,4.708673729272503,1.136509842422875
Assault // Battery,Green Red,5,{R} // {3}{G},Sorcery,1,2,Multicolored,-0.694734278892719,-0.713963972815357,-0.722774289905804,-0.694734278892721,-2.826206820506601,0
Assemble the Legion,Red White,5,{3}{R}{W},Enchantment,2,2,Multicolored,-0.641769946195301,-0.672707627676749,-0.684009204872475,-0.641769946195303,-2.640256724939828,0
Asylum Visitor,Black,2,{1}{B},Creature,5,1,Monocolored,-0.550651356113935,-0.577477977751756,-0.591224669780258,-0.591080725528363,-2.310434729174312,0.2962323906351227
Atarka's Command,Green Red,2,{R}{G},Instant,1,2,Multicolored,-0.694734278892719,-0.735959143931299,-0.722774289905804,-0.694734278892721,-2.8482019916225427,0.03657829752806007
Attended Knight,White,3,{2}{W},Creature,1,1,Monocolored,-0.753443374814202,-0.730386837733485,-0.738100730015682,-0.737958766222766,-2.959889708786135,0
Augur of Bolas,Blue,2,{1}{U},Creature,10,1,Monocolored,-0.343191588117927,-0.379376520027327,-0.407629594485978,-0.407483174660359,-1.5376808772915913,0.5487914506600318
Auramancer,White,3,{2}{W},Creature,1,1,Monocolored,-0.753443374814202,-0.730386837733485,-0.738100730015682,-0.737958766222766,-2.959889708786135,0
"Aurelia, Exemplar of Justice",Red White,4,{2}{R}{W},Legendary Creature,10,2,Multicolored,-0.218055284615963,-0.371164885579137,-0.373888524605843,-0.218055284615964,-1.181163979416907,0.3233992444861965
"Avacyn, Angel of Hope",White,8,{5}{W}{W}{W},Legendary Creature,3,ramp/cheat,Monocolored,-0.690240619311024,-0.90775874633108,-0.796593674807175,-0.664519745875564,-3.059112786324843,0
Avacyn's Pilgrim,Green,1,{G},Creature,53,1,Monocolored,1.11085302353855,0.8760032182435,1.17128805304483,1.17145576280448,4.32960005763136,2.233192147663014
Avalanche Riders,Red,4,{3}{R},Creature,24,1,Monocolored,0.118617872658904,0.123428449311861,0.106436616338006,0.106589967770053,0.455072906078824,0.3102516230765337
Avatar of the Resolute,Green,2,{G}{G},Creature,1,2,Monocolored,-0.776689644040648,-0.735959143931299,-0.722774289905804,-0.737958766222766,-2.973381844100517,0.706368470789682
Aven Mindcensor,White,3,{2}{W},Creature,3,1,Monocolored,-0.690240619311024,-0.650357495656704,-0.66466269989797,-0.664519745875564,-2.669780560741262,0
Avenger of Zendikar,Green,7,{5}{G}{G},Creature,18,2,Monocolored,-0.159608387332064,-0.184781166749246,-0.0637678443392121,-0.113727093271552,-0.5218844916920742,0.24643934396842268
Awakening Zone,Green,3,{2}{G},Enchantment,4,1,Monocolored,-0.667792951680309,-0.610342824618313,-0.627943684839114,-0.627800235701964,-2.5338796968397,0
Azorius Signet,Colorless,2,{2},Artifact,27,0,Colorless,0.067618795680573,0.294168436235733,0.0269428580208479,0.0676187956805729,0.4563488856177268,0
