name,text,count,landColor,numColors,power
Academy Ruins,"{T}: Add {C}.
{1}{U}, {T}: Put target artifact card from your graveyard on top of your library.",19,Blue ,1,0.24520515974492613
Adarkar Wastes,"{T}: Add {C}.
{T}: Add {W} or {U}. Adarkar Wastes deals 1 damage to you.",6,White Blue ,2,0
Aether Hub,"When Aether Hub enters the battlefield, you get {E} (an energy counter).
{T}: Add {C}.
{T}, Pay {E}: Add one mana of any color.",28,White Blue Black Red Green,4,12.711039014199935
Agadeem's Awakening,NA,8,White Blue Black Red Green,4,1.9693159036084407
Ancient Tomb,{T}: Add {C}{C}. Ancient Tomb deals 2 damage to you.,65,White Blue Black Red Green,4,32.5832267687942
Arid Mesa,"{T}, Pay 1 life, Sacrifice Arid Mesa: Search your library for a Mountain or Plains card, put it onto the battlefield, then shuffle your library.",106,White Red ,2,3.323218975887027
Ash Barrens,"{T}: Add {C}.
Basic landcycling {1} ({1}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle your library.)",61,White Blue Black Red Green,4,30.434882146675896
Bad River,"Bad River enters the battlefield tapped.
{T}, Sacrifice Bad River: Search your library for an Island or Swamp card, put it onto the battlefield, then shuffle your library.",1,Blue Black ,2,0
Badlands,({T}: Add {B} or {R}.),71,Black Red ,2,1.741360309696503
Bala Ged Recovery,NA,4,White Blue Black Red Green,4,0
Barren Moor,"Barren Moor enters the battlefield tapped.
{T}: Add {B}.
Cycling {B} ({B}, Discard this card: Draw a card.)",1,Black ,1,0
Battlefield Forge,"{T}: Add {C}.
{T}: Add {R} or {W}. Battlefield Forge deals 1 damage to you.",39,White Red ,2,0.2950895291794522
Bayou,({T}: Add {B} or {G}.),76,Black Green ,2,1.9673401191522921
Bazaar of Baghdad,"{T}: Draw two cards, then discard three cards.",17,White Blue Black Red Green,4,6.803091303374613
Blackcleave Cliffs,"Blackcleave Cliffs enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {B} or {R}.",40,Black Red ,2,0.34028549107061007
Blast Zone,"Blast Zone enters the battlefield with a charge counter on it.
{T}: Add {C}.
{X}{X}, {T}: Put X charge counters on Blast Zone.
{3}, {T}, Sacrifice Blast Zone: Destroy each nonland permanent with converted mana cost equal to the number of charge counters on Blast Zone.",34,White Blue Black Red Green,4,15.933555947377382
Blinkmoth Nexus,"{T}: Add {C}.
{1}: Blinkmoth Nexus becomes a 1/1 Blinkmoth artifact creature with flying until end of turn. It's still a land.
{1}, {T}: Target Blinkmoth creature gets +1/+1 until end of turn.",5,White Blue Black Red Green,4,0.3580574370197166
Blood Crypt,"({T}: Add {B} or {R}.)
As Blood Crypt enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",72,Black Red ,2,1.7865562715876604
Bloodstained Mire,"{T}, Pay 1 life, Sacrifice Bloodstained Mire: Search your library for a Swamp or Mountain card, put it onto the battlefield, then shuffle your library.",105,Black Red ,2,3.2780230139958695
Blooming Marsh,"Blooming Marsh enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {B} or {G}.",30,Black Green ,2,0
Botanical Sanctum,"Botanical Sanctum enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {G} or {U}.",23,Blue Green ,2,0
Breeding Pool,"({T}: Add {G} or {U}.)
As Breeding Pool enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",81,Blue Green ,2,2.1933199286080813
Brightclimb Pathway,NA,1,White Blue Black Red Green,4,0
Brushland,"{T}: Add {C}.
{T}: Add {G} or {W}. Brushland deals 1 damage to you.",14,White Green ,2,0
Canyon Slough,"({T}: Add {B} or {R}.)
Canyon Slough enters the battlefield tapped.
Cycling {2} ({2}, Discard this card: Draw a card.)",5,Black Red ,2,0
Cascade Bluffs,"{T}: Add {C}.
{U/R}, {T}: Add {U}{U}, {U}{R}, or {R}{R}.",1,Blue Red ,2,0
Castle Ardenvale,"Castle Ardenvale enters the battlefield tapped unless you control a Plains.
{T}: Add {W}.
{2}{W}{W}, {T}: Create a 1/1 white Human creature token.",6,White ,1,0
Castle Embereth,"Castle Embereth enters the battlefield tapped unless you control a Mountain.
{T}: Add {R}.
{1}{R}{R}, {T}: Creatures you control get +1/+0 until end of turn.",6,Red ,1,0
Castle Locthwain,"Castle Locthwain enters the battlefield tapped unless you control a Swamp.
{T}: Add {B}.
{1}{B}{B}, {T}: Draw a card, then you lose life equal to the number of cards in your hand.",9,Black ,1,0
Castle Vantress,"Castle Vantress enters the battlefield tapped unless you control an Island.
{T}: Add {U}.
{2}{U}{U}, {T}: Scry 2.",3,Blue ,1,0
Caves of Koilos,"{T}: Add {C}.
{T}: Add {W} or {B}. Caves of Koilos deals 1 damage to you.",32,White Black ,2,0
Celestial Colonnade,"Celestial Colonnade enters the battlefield tapped.
{T}: Add {W} or {U}.
{3}{W}{U}: Until end of turn, Celestial Colonnade becomes a 4/4 white and blue Elemental creature with flying and vigilance. It's still a land.",79,White Blue ,2,2.1029280048257655
City of Brass,"Whenever City of Brass becomes tapped, it deals 1 damage to you.
{T}: Add one mana of any color.",92,White Blue Black Red Green,4,47.084552968092716
City of Traitors,"When you play another land, sacrifice City of Traitors.
{T}: Add {C}{C}.",2,White Blue Black Red Green,4,0
