Name,sb%
Abbot of Keral Keep,56.7
Abrade,26.9
Abrupt Decay,58.3
Abyssal Persecutor,0
Abzan Battle Priest,100
Academy Ruins,76.5
Acclaimed Contender,100
Accorder Paladin,44
Acidic Slime,33.3
Adanto Vanguard,38.4
Adarkar Wastes,0
Adorned Pouncer,16.7
Aerial Responder,100
Aether Adept,100
Aether Chaser,83.3
Aether Hub,13.3
Aetherling,69.2
Aethersphere Harvester,50
Agadeem's Awakening,12.5
Agonizing Remorse,60
Ahn-Crop Crasher,100
Ainok Survivalist,100
Ajani Goldmane,100
Ajani Vengeant,63.6
"Ajani, Adversary of Tyrants",50
"Ajani, Mentor of Heroes",0
"Ajani, the Greathearted",66.7
Akoum Hellhound,0
"Alesha, Who Smiles at Death",69.2
Alseid of Life's Bounty,100
Ammit Eternal,0
"Anafenza, Kin-Tree Spirit",25
"Anax, Hardened in the Forge",25
Ancestral Blade,100
Ancestral Recall,5.4
Ancestral Vision,19.2
Ancient Grudge,55
Ancient Stirrings,100
Ancient Stone Idol,33.3
Ancient Tomb,3.6
Angel of Invention,33.9
Angel of Sanctions,52.6
Angel of Serenity,79.2
Anger of the Gods,100
Angrath's Rampage,68.4
Anguished Unmaking,46.2
Animate Dead,27.3
Apex Altisaur,100
Applied Biomancy,100
Approach of the Second Sun,75
Arachnogenesis,100
Arbor Elf,12
Arc Lightning,50
Arc Trail,25
Arcane Artisan,64.7
Arcane Denial,37.5
Archaeomancer,0
Archangel Avacyn,58.9
Archangel of Thune,100
Archfiend of Depravity,100
Archfiend of Ifnir,0
Arguel's Blood Fast,72.7
Arid Mesa,7.2
Arlinn Kord,75
Armadillo Cloak,100
Armageddon,60.6
Armory of Iroas,100
Ash Barrens,16.3
Ash Zealot,50
Ashen Rider,50
"Ashiok, Dream Render",0
"Ashiok, Nightmare Muse",0
"Ashiok, Nightmare Weaver",20
Assassin's Trophy,52.5
Assemble the Legion,100
Atarka's Command,100
Attended Knight,100
Augur of Bolas,60
Auramancer,100
"Aurelia, Exemplar of Justice",60
"Avacyn, Angel of Hope",50
Avacyn's Pilgrim,22
Avalanche Riders,71.4
Avatar of the Resolute,100
Aven Mindcensor,0
Avenger of Zendikar,47.1
Awakening Zone,25
Azorius Signet,9.1
Bad River,0
Badlands,26.2
Bala Ged Recovery,0
Balance,34
Baleful Strix,20.7
Banefire,40
Baneslayer Angel,44
Banewhip Punisher,100
Banisher Priest,50
Banishing Light,29.4
"Baral, Chief of Compliance",64.3
Baral's Expertise,0
Barren Moor,0
"Barrin, Tolarian Archmage",40
Basalt Monolith,25
Batterskull,34.5
Battlefield Forge,48
Bayou,17.2
Bazaar of Baghdad,58.8
Beanstalk Giant,0
Bearer of Silence,0
Beast Within,72.2
Bedevil,33.3
Benalish Marshal,57.1
Berserk,50
Bident of Thassa,100
Binding Mummy,100
Biogenic Ooze,36.7
Birds of Paradise,6.1
Birthing Pod,53.8
Bitterblossom,10.8
Black Lotus,0
Blackcleave Cliffs,42.1
Blade Splicer,24.4
Blast Zone,72.7
Blastoderm,100
Blessed Alliance,0
Blightning,0
Blightsteel Colossus,26.9
Blink of an Eye,57.1
Blinkmoth Nexus,100
Blood Artist,41.7
Blood Crypt,22.8
Bloodbraid Elf,44
Bloodchief's Thirst,0
Bloodflow Connoisseur,0
Bloodghast,52.9
Bloodsoaked Champion,36
Bloodstained Mire,10.8
Blooming Marsh,30.8
Bolas's Citadel,100
Bomat Courier,35.9
Bond of Flourishing,100
Bone Shredder,52.4
Bonecrusher Giant,7.4
Bonehoard,100
Bonesplitter,60
Bonfire of the Damned,88.2
Boon of the Wish-Giver,0
Boon Satyr,50
Booster Tutor,100
Boreal Druid,16.7
Boros Charm,48.3
Boros Signet,15.4
"Bosh, Iron Golem",100
Botanical Sanctum,26.1
"Brago, King Eternal",50
"Braids, Cabal Minion",60
Brain Freeze,77.8
Brain Maggot,37.5
Brainstorm,15.8
Bramble Sovereign,100
Brazen Borrower,16.1
Breeding Pool,21
Briarhorn,66.7
Bribery,12.8
Brightclimb Pathway,100
Brightling,75
"Brimaz, King of Oreskos",35.6
Bring to Light,40
Brushland,20
Buried Alive,58.8
Burning of Xinye,72.2
Burning Prophet,100
Burst Lightning,32.3
Cabal Ritual,66.7
Call of the Herd,100
Call the Bloodline,100
Callous Dismissal,0
Canyon Slough,40
Captain Lannery Storm,50
Captain of the Watch,0
Captain's Claws,100
Careful Study,63.6
Carnage Tyrant,29.1
Carnophage,73.9
Carrion Feeder,53.8
Cascade Bluffs,0
Cast Down,23.5
Cast Out,37.5
Castle Ardenvale,33.3
Castle Embereth,33.3
Castle Locthwain,25
Castle Vantress,0
Catastrophe,73.7
Cavalier of Gales,50
Cavalier of Night,100
Caves of Koilos,29.4
Celestial Colonnade,19.7
Cemetery Reaper,100
Censor,100
Chain Lightning,20.6
Chainer's Edict,0
Champion of the Parish,50
Champion of Wits,71.4
"Chandra, Acolyte of Flame",41.7
"Chandra, Awakened Inferno",45.5
"Chandra, Fire of Kaladesh",50
"Chandra, Flamecaller",37.8
"Chandra, Pyromaster",75
"Chandra, Torch of Defiance",18.7
Chandra's Phoenix,33.3
Chandra's Pyrohelix,50
Channel,27.8
Char,40
Charming Prince,57.1
Chart a Course,26.8
Chemister's Insight,0
Chrome Mox,5.6
City of Brass,3.4
City of Traitors,0
Claustrophobia,100
Clearwater Pathway,0
Clever Impersonator,0
Clifftop Retreat,0
Cling to Dust,100
Cloudblazer,20
Cloudfin Raptor,100
Cloudgoat Ranger,63.6
Cloudkin Seer,33.3
Coalition Relic,7
Coercive Portal,10
Coiling Oracle,100
Coldsteel Heart,19.2
Collected Company,66.7
Collective Brutality,25.6
Collective Defiance,42.9
Combat Celebrant,37.5
Comeuppance,100
Commence the Endgame,100
Commit // Memory,42.9
