date,sphere,decksBefore,numbefore,pct_of_decks
2017-12-03,aggro,15,44,34.09090909090909
2017-12-04,aggro,16,46,34.78260869565217
2017-12-05,aggro,17,49,34.69387755102041
2017-12-07,aggro,17,50,34
2017-12-10,aggro,17,51,33.333333333333336
2017-12-14,aggro,18,52,34.61538461538461
2017-12-15,aggro,18,53,33.9622641509434
2017-12-16,aggro,19,55,34.54545454545455
2017-12-17,aggro,19,58,32.758620689655174
2017-12-18,aggro,19,59,32.20338983050848
2017-12-20,aggro,20,60,33.333333333333336
2017-12-22,aggro,20,61,32.78688524590164
2017-12-23,aggro,21,62,33.87096774193548
2017-12-25,aggro,22,65,33.84615384615385
2017-12-28,aggro,22,66,33.333333333333336
2017-12-29,aggro,23,67,34.32835820895522
2017-12-30,aggro,23,68,33.8235294117647
2018-01-01,aggro,23,69,33.333333333333336
2018-01-04,aggro,24,70,34.285714285714285
2018-01-05,aggro,24,72,33.333333333333336
2018-01-09,aggro,25,73,34.24657534246575
2018-01-15,aggro,25,75,33.333333333333336
2018-01-20,aggro,25,77,32.467532467532465
2018-01-21,aggro,26,80,32.5
2018-01-25,aggro,27,81,33.333333333333336
2018-01-27,aggro,27,82,32.926829268292686
2018-02-03,aggro,27,83,32.53012048192771
2018-02-05,aggro,27,84,32.142857142857146
2018-02-08,aggro,28,85,32.94117647058823
2018-02-09,aggro,28,86,32.55813953488372
2018-02-10,aggro,29,87,33.333333333333336
2018-02-11,aggro,30,89,33.70786516853933
2018-02-17,aggro,30,90,33.333333333333336
2018-02-23,aggro,30,92,32.608695652173914
2018-02-24,aggro,30,93,32.25806451612903
2018-02-25,aggro,30,94,31.914893617021278
2018-03-03,aggro,30,95,31.57894736842105
2018-03-04,aggro,31,96,32.291666666666664
2018-03-09,aggro,31,97,31.95876288659794
2018-03-10,aggro,31,99,31.31313131313131
2018-03-11,aggro,31,100,31
2018-03-17,aggro,35,105,33.333333333333336
2018-03-23,aggro,35,106,33.0188679245283
2018-03-24,aggro,36,109,33.027522935779814
2018-03-25,aggro,36,111,32.432432432432435
2018-03-28,aggro,37,112,33.035714285714285
2018-03-31,aggro,39,114,34.21052631578947
2018-04-01,aggro,41,118,34.74576271186441
2018-04-02,aggro,41,119,34.45378151260504
2018-04-04,aggro,41,120,34.166666666666664
2018-04-07,aggro,41,123,33.333333333333336
2018-04-08,aggro,41,125,32.8
2018-04-11,aggro,41,126,32.53968253968254
2018-04-12,aggro,41,127,32.28346456692913
2018-04-14,aggro,42,129,32.55813953488372
2018-04-15,aggro,42,130,32.30769230769231
2018-04-16,aggro,43,131,32.82442748091603
2018-04-17,aggro,45,133,33.83458646616541
2018-04-21,aggro,45,135,33.333333333333336
2018-04-22,aggro,45,138,32.608695652173914
2018-04-27,aggro,46,140,32.857142857142854
2018-04-28,aggro,47,142,33.098591549295776
2018-05-01,aggro,48,144,33.333333333333336
2018-05-03,aggro,48,145,33.10344827586207
2018-05-12,aggro,49,146,33.56164383561644
2018-05-13,aggro,50,148,33.78378378378378
2018-05-19,aggro,50,152,32.89473684210526
2018-05-20,aggro,50,153,32.6797385620915
2018-05-25,aggro,50,154,32.467532467532465
2018-05-26,aggro,50,156,32.05128205128205
2018-05-31,aggro,50,157,31.84713375796178
2018-06-01,aggro,50,159,31.446540880503143
2018-06-02,aggro,51,161,31.677018633540374
2018-06-03,aggro,51,162,31.48148148148148
2018-06-04,aggro,51,163,31.288343558282207
2018-06-05,aggro,52,164,31.70731707317073
2018-06-06,aggro,52,166,31.325301204819276
2018-06-08,aggro,53,168,31.547619047619047
2018-06-09,aggro,54,170,31.764705882352942
2018-06-10,aggro,55,171,32.16374269005848
2018-06-11,aggro,55,172,31.976744186046513
2018-06-13,aggro,55,174,31.60919540229885
