name,twin,wildfire,opposition,reanimator,cheat,artifacts,storm,stax,burn,stoneforge,armageddon,skullclamp,counterburn,pox,monowhite,monored,naturalorder,edric,reveillark,spellsmatter,pod,oath,fivecolor,balance,moat,upheaval,mentor,abyss,crucible,superfriends,survival,blink,tokens,channel
Sensei's Divining Top,0,0,0.6038647342995169,0.23094688221709006,2.2045855379188715,1.2468827930174564,0,0,0,0,0.4187604690117253,0,0,0,1.1261261261261262,0,1.0214504596527068,0,0,1.7543859649122806,0,0,10.204081632653061,2.208480565371025,3.8095238095238093,1.050420168067227,6.024096385542169,0,0,1.2285012285012284,0,0,0,0
Bloodstained Mire,1.7421602787456445,2.586206896551724,0.6038647342995169,2.540415704387991,0.8818342151675485,1.6625103906899419,0,1.3793103448275863,0,0.7987220447284346,1.256281407035176,2.2246941045606228,0,0,0,0,0,0,0.4748338081671415,1.7543859649122806,0,0,10.204081632653061,0.8833922261484098,0.9523809523809523,1.5756302521008403,6.024096385542169,0,0,2.457002457002457,0.4699248120300752,0,1.1904761904761905,0
Dire Fleet Daredevil,0.8710801393728222,0.8620689655172413,0,0.23094688221709006,0.4409171075837742,0,0,0.6896551724137931,1.7241379310344827,0,0,0,3.2679738562091503,0,1.1261261261261262,1.6207455429497568,0,0,0,0,0,0,10.204081632653061,0,0,0,0,0,0,0,0,0,0,1.4367816091954022
Mox Diamond,0.8710801393728222,1.7241379310344827,1.2077294685990339,0.9237875288683602,1.763668430335097,2.0781379883624274,0,1.3793103448275863,1.7241379310344827,4.792332268370607,2.512562814070352,2.7808676307007785,0,0,1.1261261261261262,0.8103727714748784,3.575076608784474,6.666666666666667,3.798670465337132,1.7543859649122806,1.557632398753894,3.4482758620689653,10.204081632653061,4.41696113074205,1.9047619047619047,2.6260504201680672,0,15.151515151515152,2.717391304347826,2.457002457002457,4.2293233082706765,15.625,1.1904761904761905,2.8735632183908044
Condescend,0.4355400696864111,1.7241379310344827,1.8115942028985508,2.0785219399538106,1.3227513227513228,2.493765586034913,0,0,3.4482758620689653,0.7987220447284346,0,0,6.5359477124183005,0,0,0,0,0,0.4748338081671415,1.7543859649122806,0,0,10.204081632653061,3.5335689045936394,3.8095238095238093,3.1512605042016806,0,0,0,0,0,0,0,0
Damnation,0.4355400696864111,0.8620689655172413,0,2.0785219399538106,0,0.8312551953449709,0,0,0,0,0.4187604690117253,0,0,0,0,0,0,0,0,3.508771929824561,0,3.4482758620689653,10.204081632653061,0.4416961130742049,0.9523809523809523,0.5252100840336135,0,0,0,0,0,0,0,0
Bayou,0,0.8620689655172413,0.6038647342995169,0.9237875288683602,1.3227513227513228,0,0,1.3793103448275863,0,0,0.4187604690117253,1.668520578420467,0,0,0,0,0.5107252298263534,0,0.949667616334283,0,1.557632398753894,3.4482758620689653,10.204081632653061,0.4416961130742049,0,0.5252100840336135,0,0,2.717391304347826,1.2285012285012284,0.9398496240601504,0,1.1904761904761905,2.8735632183908044
Battlefield Forge,1.3066202090592334,2.586206896551724,0,0,0,0.41562759767248547,0,0,0,0.7987220447284346,2.9313232830820772,0.5561735261401557,0,0,0,0,0,0,0.4748338081671415,1.7543859649122806,1.557632398753894,0,10.204081632653061,0.8833922261484098,0,0,0,0,0,2.457002457002457,0.4699248120300752,0,1.1904761904761905,0
Kolaghan's Command,1.3066202090592334,2.586206896551724,0,0.6928406466512702,0.8818342151675485,0.41562759767248547,0,0.6896551724137931,0,0.7987220447284346,0,0,0,0,0,0,0,0,0,1.7543859649122806,0,0,10.204081632653061,0.4416961130742049,0,0.5252100840336135,0,0,0,1.2285012285012284,0,0,0,0
Sulfurous Springs,0,0.8620689655172413,1.2077294685990339,1.3856812933025404,1.3227513227513228,1.2468827930174564,0,0,0,0,1.6750418760469012,0.5561735261401557,0,0,0,0,0,0,0,0,0,6.896551724137931,10.204081632653061,0.4416961130742049,0,1.5756302521008403,0,0,0,1.2285012285012284,0,0,0,2.8735632183908044
