name,color,cmc,manaCost,types,count,pips,colorType,colordiff,cmcdiff,pipdiff,colortypediff,power,newcc
Abbot of Keral Keep,Red,2,{1}{R},Creature,11,1,Monocolored,-0.251579990469075,-0.343745685393059,-0.306016552390401,-0.283720979006333,-1.1850632072588678,0.6457769159503977
Abrade,Red,2,{1}{R},Instant,30,1,Monocolored,1.337588902206,1.1716065239963,1.14372677166492,1.13412631661544,4.7870485144826596,0.8947655703445762
Abrupt Decay,Black Green,2,{B}{G},Instant,15,2,Multicolored,0.52226320558639,-0.024724167626879,0.121140429450947,0.52226320558639,1.140942672996848,0.9074891300893019
Accorder Paladin,White,2,{1}{W},Creature,25,1,Monocolored,0.634105388767395,0.772829626788571,0.762215370597728,0.761008607241287,2.930158993394981,1.3775259044942672
Acidic Slime,Green,5,{3}{G}{G},Creature,28,2,Monocolored,0.996867088149388,1.08560834049978,1.10317452307257,0.984879232865777,4.170529184587515,1.299704260972075
Adanto Vanguard,White,2,{1}{W},Creature,34,1,Monocolored,1.22916487921168,1.49062804176248,1.44893589251867,1.43262048411476,5.60134929760759,1.6678341046842393
Adorned Pouncer,White,2,{1}{W},Creature,9,1,Monocolored,-0.423778149800214,-0.503256444276149,-0.458621112817277,-0.432968062755993,-1.818623769649633,0.46416669945099204
Aether Chaser,Red,2,{1}{R},Creature,9,1,Monocolored,-0.418860926540136,-0.503256444276149,-0.458621112817277,-0.432968062755993,-1.8137065463895552,0.46571113390866353
Aetherling,Blue,6,{4}{U}{U},Creature,17,2,Monocolored,0.10704436467634,0.193884703281312,0.272222597700428,0.164020272242647,0.737171937900727,0.6483541065044025
Ahn-Crop Crasher,Red,3,{2}{R},Creature,2,1,Monocolored,-1.00434420278885,-0.771478060076272,-0.992737074311342,-0.955332855879803,-3.7238921930562667,0
Ajani Vengeant,White Red,4,{2}{R}{W},Planeswalker,30,2,Multicolored,2.01136077523353,1.09277587363672,1.25425669132205,2.01136077523353,6.369754115425831,0.6661721965641892
"Ajani, Mentor of Heroes",White Green,5,{3}{G}{W},Planeswalker,1,2,Multicolored,-0.867561192750945,-0.973458718547326,-0.936434748295418,-0.867561192750945,-3.645015852344634,0
"Alesha, Who Smiles at Death",Red,3,{2}{R},Creature,14,1,Monocolored,-0.00065858636248449,0.163357796337634,-0.077109711750088,-0.0598503533818434,0.025739144843218112,0.5159602479609794
Ammit Eternal,Black,3,{2}{B},Creature,2,1,Monocolored,-0.923147130594907,-0.771478060076272,-0.992737074311342,-0.955332855879803,-3.642695120862324,0
"Anafenza, Kin-Tree Spirit",White,2,{W}{W},Creature,1,2,Monocolored,-0.952719919084015,-1.14129947980851,-0.936434748295418,-1.02995639775463,-4.060410544942574,0
Ancestral Vision,Blue,1,NA,Sorcery,15,1,Monocolored,-0.0374996181987176,-0.159548263322299,-0.000807431536650178,0.0147731884929866,-0.18308212456468018,0.4735219899318621
Ancient Grudge,Red,2,{1}{R},Instant,1,1,Monocolored,-1.08798467082438,-1.14129947980851,-1.06903935452478,-1.02995639775463,-4.3282799029123,0
Ancient Stone Idol,Colorless,10,{10},Artifact Creature,8,ramp/cheat,Colorless,-0.684541235711387,-0.178695796383536,-0.296996970671088,-0.684541235711387,-1.844775238477398,0
Angel of Invention,White,5,{3}{W}{W},Creature,27,2,Monocolored,0.766340831088349,1.00934659757211,1.02763343894783,0.910255690990947,3.7135765585992364,1.2485916014110323
Angel of Sanctions,White,5,{3}{W}{W},Creature,5,2,Monocolored,-0.688249034442113,-0.668411746836643,-0.634270411796457,-0.731462230255313,-2.722393423330526,0
Angel of Serenity,White,7,{4}{W}{W}{W},Creature,13,3,Monocolored,-0.159307265158311,-0.312803830169498,0.261295454200404,-0.134473895256673,-0.345289536384078,0.6905818493989934
Anguished Unmaking,White Black,3,{1}{W}{B},Instant,3,2,Multicolored,-0.669014850131326,-0.693575072041779,-0.785352580045938,-0.669014850131326,-2.816957352350369,0.1876272527630436
Animate Dead,Black,2,{1}{B},Enchantment,36,1,Monocolored,1.67454595782331,1.65013880064557,1.60154045294554,1.58186756786442,6.50809277927884,1.749903327251779
Arbor Elf,Green,1,{G},Creature,28,1,Monocolored,0.996867088149388,0.818813728748401,0.991122211238041,0.984879232865777,3.791682261001607,2.173806076889764
Arc Lightning,Red,3,{2}{R},Sorcery,18,1,Monocolored,0.333903285779637,0.474969748475602,0.228099409103663,0.238643814117477,1.275616257476379,0.22723377612439133
Arc Trail,Red,2,{1}{R},Sorcery,28,1,Monocolored,1.17030796613494,1.01209576511321,0.991122211238041,0.984879232865777,4.158405175351968,0.8283776949133523
Arcane Artisan,Blue,3,{2}{U},Creature,4,1,Monocolored,-0.832491524011531,-0.615672084007287,-0.840132513884466,-0.806085772130143,-3.0943818940334267,0
Arcane Denial,Blue,2,{1}{U},Instant,20,1,Monocolored,0.323860338988925,0.374052729580846,0.380703969530539,0.387890897867137,1.4665079359674469,0.48034186999560907
Archangel Avacyn,White,5,{3}{W}{W},Creature,22,2,Monocolored,0.435752225285969,0.628037882933758,0.64992801832413,0.537137981616797,2.2508561081606544,1.0648288139053035
Archangel of Thune,White,5,{3}{W}{W},Creature,1,2,Monocolored,-0.952719919084015,-0.973458718547326,-0.936434748295418,-1.02995639775463,-3.892569783681389,0
Arguel's Blood Fast,Black,2,{1}{B},Enchantment,2,1,Monocolored,-0.923147130594907,-1.06154410036696,-0.992737074311342,-0.955332855879803,-3.932761161153012,0
Arlinn Kord,Red Green,4,{2}{R}{G},Planeswalker,3,2,Multicolored,-0.669014850131326,-0.822941398198634,-0.785352580045938,-0.669014850131326,-2.946323678507224,0
Armageddon,White,4,{3}{W},Sorcery,34,1,Monocolored,1.22916487921168,1.37658583983455,1.44893589251867,1.43262048411476,5.48730709567966,0.558406208658764
As Foretold,Blue,3,{2}{U},Enchantment,1,1,Monocolored,-1.04930749832412,-0.849381048110764,-1.06903935452478,-1.02995639775463,-3.9976842987142938,0
Ash Zealot,Red,2,{R}{R},Creature,1,2,Monocolored,-1.08798467082438,-1.14129947980851,-0.936434748295418,-1.02995639775463,-4.195675296682937,0
"Ashiok, Nightmare Weaver",Blue Black,3,{1}{U}{B},Planeswalker,3,2,Multicolored,-0.669014850131326,-0.693575072041779,-0.785352580045938,-0.669014850131326,-2.816957352350369,0.1876272527630436
Assassin's Trophy,Black Green,2,{B}{G},Instant,13,2,Multicolored,0.32371686296677,-0.184234926509969,-0.0299417387985335,0.32371686296677,0.43325706062503744,0.8462693905621511
Asylum Visitor,Black,2,{1}{B},Creature,5,1,Monocolored,-0.693938916910944,-0.822277962042329,-0.763830233671028,-0.731462230255313,-3.0115093428796142,0
"Aurelia, Exemplar of Justice",White Red,4,{2}{R}{W},Creature,5,2,Multicolored,-0.470468507511707,-0.681036415099719,-0.634270411796457,-0.470468507511707,-2.25624384191959,0.15809033084088167
