name,text,count,landColor,numColors,power
Academy Ruins,"{T}: Add {C}.
{1}{U}, {T}: Put target artifact card from your graveyard on top of your library.",8,Blue ,1,0
Adarkar Wastes,"{T}: Add {C}.
{T}: Add {W} or {U}. Adarkar Wastes deals 1 damage to you.",2,White Blue ,2,0
Aether Hub,"When Aether Hub enters the battlefield, you get {E} (an energy counter).
{T}: Add {C}.
{T}, Pay {E}: Add one mana of any color.",26,White Blue Black Red Green,4,0
Ancient Tomb,{T}: Add {C}{C}. Ancient Tomb deals 2 damage to you.,34,White Blue Black Red Green,4,0.28165921550597606
Arid Mesa,"{T}, Pay 1 life, Sacrifice Arid Mesa: Search your library for a Mountain or Plains card, put it onto the battlefield, then shuffle your library.",49,White Red ,2,2.073019679261587
Ash Barrens,"{T}: Add {C}.
Basic landcycling {1} ({1}, Discard this card: Search your library for a basic land card, reveal it, and put it into your hand, then shuffle your library.)",37,White Blue Black Red Green,4,0.4182723679370183
Badlands,({T}: Add {B} or {R}.),35,Black Red ,2,0.8272591632654075
Battlefield Forge,"{T}: Add {C}.
{T}: Add {R} or {W}. Battlefield Forge deals 1 damage to you.",33,White Red ,2,0.6492933752659532
Bayou,({T}: Add {B} or {G}.),40,Black Green ,2,1.272173633264043
Bazaar of Baghdad,"{T}: Draw two cards, then discard three cards.",5,White Blue Black Red Green,4,0
Blackcleave Cliffs,"Blackcleave Cliffs enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {B} or {R}.",11,Black Red ,2,0
Blinkmoth Nexus,"{T}: Add {C}.
{1}: Blinkmoth Nexus becomes a 1/1 Blinkmoth artifact creature with flying until end of turn. It's still a land.
{1}, {T}: Target Blinkmoth creature gets +1/+1 until end of turn.",5,White Blue Black Red Green,4,0
Blood Crypt,"({T}: Add {B} or {R}.)
As Blood Crypt enters the battlefield, you may pay 2 life. If you don't, Blood Crypt enters the battlefield tapped.",33,Black Red ,2,0.6492933752659532
Bloodstained Mire,"{T}, Pay 1 life, Sacrifice Bloodstained Mire: Search your library for a Swamp or Mountain card, put it onto the battlefield, then shuffle your library.",48,Black Red ,2,1.98403678526186
Blooming Marsh,"Blooming Marsh enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {B} or {G}.",4,Black Green ,2,0
Botanical Sanctum,"Botanical Sanctum enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {G} or {U}.",6,Blue Green ,2,0
Breeding Pool,"({T}: Add {G} or {U}.)
As Breeding Pool enters the battlefield, you may pay 2 life. If you don't, Breeding Pool enters the battlefield tapped.",46,Blue Green ,2,1.8060709972624056
Brushland,"{T}: Add {C}.
{T}: Add {G} or {W}. Brushland deals 1 damage to you.",12,White Green ,2,0
Caves of Koilos,"{T}: Add {C}.
{T}: Add {W} or {B}. Caves of Koilos deals 1 damage to you.",29,White Black ,2,0.2933617992670448
Celestial Colonnade,"Celestial Colonnade enters the battlefield tapped.
{T}: Add {W} or {U}.
{3}{W}{U}: Until end of turn, Celestial Colonnade becomes a 4/4 white and blue Elemental creature with flying and vigilance. It's still a land.",42,White Blue ,2,1.4501394212634973
City of Brass,"Whenever City of Brass becomes tapped, it deals 1 damage to you.
{T}: Add one mana of any color.",73,White Blue Black Red Green,4,2.057630197109525
City of Traitors,"When you play another land, sacrifice City of Traitors.
{T}: Add {C}{C}.",1,White Blue Black Red Green,4,0
Concealed Courtyard,"Concealed Courtyard enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {W} or {B}.",8,White Black ,2,0
Copperline Gorge,"Copperline Gorge enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {R} or {G}.",7,Red Green ,2,0
Creeping Tar Pit,"Creeping Tar Pit enters the battlefield tapped.
{T}: Add {U} or {B}.
{1}{U}{B}: Creeping Tar Pit becomes a 3/2 blue and black Elemental creature until end of turn and can't be blocked this turn. It's still a land.",43,Blue Black ,2,1.5391223152632243
Darkslick Shores,"Darkslick Shores enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {U} or {B}.",9,Blue Black ,2,0
Dragonskull Summit,"Dragonskull Summit enters the battlefield tapped unless you control a Swamp or a Mountain.
{T}: Add {B} or {R}.",1,Black Red ,2,0
Drowned Catacomb,"Drowned Catacomb enters the battlefield tapped unless you control an Island or a Swamp.
{T}: Add {U} or {B}.",3,Blue Black ,2,0
Dust Bowl,"{T}: Add {C}.
{3}, {T}, Sacrifice a land: Destroy target nonbasic land.",14,White Blue Black Red Green,4,0
Evolving Wilds,"{T}, Sacrifice Evolving Wilds: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.",36,White Blue Black Red Green,4,0.3727346504600042
Faerie Conclave,"Faerie Conclave enters the battlefield tapped.
{T}: Add {U}.
{1}{U}: Faerie Conclave becomes a 2/1 blue Faerie creature with flying until end of turn. It's still a land.",35,Blue ,1,2.0969257314467358
Fetid Pools,"({T}: Add {U} or {B}.)
Fetid Pools enters the battlefield tapped.
Cycling {2} ({2}, Discard this card: Draw a card.)",14,Blue Black ,2,0
Field of Ruin,"{T}: Add {C}.
{2}, {T}, Sacrifice Field of Ruin: Destroy target nonbasic land an opponent controls. Each player searches their library for a basic land card, puts it onto the battlefield, then shuffles their library.",13,White Blue Black Red Green,4,0
Flood Plain,"Flood Plain enters the battlefield tapped.
{T}, Sacrifice Flood Plain: Search your library for a Plains or Island card, put it onto the battlefield, then shuffle your library.",1,White Blue ,2,0
Flooded Grove,"{T}: Add {C}.
{G/U}, {T}: Add {G}{G}, {G}{U}, or {U}{U}.",2,Blue Green ,2,0
Flooded Strand,"{T}, Pay 1 life, Sacrifice Flooded Strand: Search your library for a Plains or Island card, put it onto the battlefield, then shuffle your library.",56,White Blue ,2,2.695899937259677
Gaea's Cradle,{T}: Add {G} for each creature you control.,34,Green ,1,1.9945529106009887
Gemstone Mine,"Gemstone Mine enters the battlefield with three mining counters on it.
{T}, Remove a mining counter from Gemstone Mine: Add one mana of any color. If there are no mining counters on Gemstone Mine, sacrifice it.",20,White Blue Black Red Green,4,0
Glacial Fortress,"Glacial Fortress enters the battlefield tapped unless you control a Plains or an Island.
{T}: Add {W} or {U}.",2,White Blue ,2,0
Godless Shrine,"({T}: Add {W} or {B}.)
As Godless Shrine enters the battlefield, you may pay 2 life. If you don't, Godless Shrine enters the battlefield tapped.",51,White Black ,2,2.2509854672610414
Grand Coliseum,"Grand Coliseum enters the battlefield tapped.
{T}: Add {C}.
{T}: Add one mana of any color. Grand Coliseum deals 1 damage to you.",41,White Blue Black Red Green,4,0.6004232378450746
Hallowed Fountain,"({T}: Add {W} or {U}.)
As Hallowed Fountain enters the battlefield, you may pay 2 life. If you don't, Hallowed Fountain enters the battlefield tapped.",46,White Blue ,2,1.8060709972624056
Hanweir Battlements,"{T}: Add {C}.
{R}, {T}: Target creature gains haste until end of turn.
{3}{R}{R}, {T}: If you both own and control Hanweir Battlements and a creature named Hanweir Garrison, exile them, then meld them into Hanweir, the Writhing Township.",2,Red ,1,0
Hissing Quagmire,"Hissing Quagmire enters the battlefield tapped.
{T}: Add {B} or {G}.
{1}{B}{G}: Hissing Quagmire becomes a 2/2 black and green Elemental creature with deathtouch until end of turn. It's still a land.",40,Black Green ,2,1.272173633264043
Horizon Canopy,"{T}, Pay 1 life: Add {G} or {W}.
{1}, {T}, Sacrifice Horizon Canopy: Draw a card.",29,White Green ,2,0.2933617992670448
Inspiring Vantage,"Inspiring Vantage enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {R} or {W}.",14,White Red ,2,0
Irrigated Farmland,"({T}: Add {W} or {U}.)
Irrigated Farmland enters the battlefield tapped.
Cycling {2} ({2}, Discard this card: Draw a card.)",19,White Blue ,2,0
Karakas,"{T}: Add {W}.
{T}: Return target legendary creature to its owner's hand.",41,White ,1,2.711162656521219
Karplusan Forest,"{T}: Add {C}.
{T}: Add {R} or {G}. Karplusan Forest deals 1 damage to you.",23,Red Green ,2,0
Kjeldoran Outpost,"If Kjeldoran Outpost would enter the battlefield, sacrifice a Plains instead. If you do, put Kjeldoran Outpost onto the battlefield. If you don't, put it into its owner's graveyard.
{T}: Add {W}.
{1}{W}, {T}: Create a 1/1 white Soldier creature token.",1,White ,1,0
Kor Haven,"{T}: Add {C}.
{1}{W}, {T}: Prevent all combat damage that would be dealt by target attacking creature this turn.",11,White ,1,0
Lavaclaw Reaches,"Lavaclaw Reaches enters the battlefield tapped.
{T}: Add {B} or {R}.
{1}{B}{R}: Until end of turn, Lavaclaw Reaches becomes a 2/2 black and red Elemental creature with ""{X}: This creature gets +X/+0 until end of turn."" It's still a land.",25,Black Red ,2,0
Library of Alexandria,"{T}: Add {C}.
{T}: Draw a card. Activate this ability only if you have exactly seven cards in hand.",9,White Blue Black Red Green,4,0
Llanowar Wastes,"{T}: Add {C}.
{T}: Add {B} or {G}. Llanowar Wastes deals 1 damage to you.",21,Black Green ,2,0
Lumbering Falls,"Lumbering Falls enters the battlefield tapped.
{T}: Add {G} or {U}.
{2}{G}{U}: Lumbering Falls becomes a 3/3 green and blue Elemental creature with hexproof until end of turn. It's still a land.",47,Blue Green ,2,1.8950538912621329
Mana Confluence,"{T}, Pay 1 life: Add one mana of any color.",66,White Blue Black Red Green,4,1.7388661747704266
Marsh Flats,"{T}, Pay 1 life, Sacrifice Marsh Flats: Search your library for a Plains or Swamp card, put it onto the battlefield, then shuffle your library.",64,White Black ,2,3.407763089257494
Maze of Ith,{T}: Untap target attacking creature. Prevent all combat damage that would be dealt to and dealt by that creature this turn.,36,White Blue Black Red Green,4,0.3727346504600042
Mirrodin's Core,"{T}: Add {C}.
{T}: Put a charge counter on Mirrodin's Core.
{T}, Remove a charge counter from Mirrodin's Core: Add one mana of any color.",1,White Blue Black Red Green,4,0
Mishra's Factory,"{T}: Add {C}.
{1}: Mishra's Factory becomes a 2/2 Assembly-Worker artifact creature until end of turn. It's still a land.
{T}: Target Assembly-Worker creature gets +1/+1 until end of turn.",63,White Blue Black Red Green,4,1.6022530223393845
Mishra's Workshop,{T}: Add {C}{C}{C}. Spend this mana only to cast artifact spells.,4,White Blue Black Red Green,4,0
Misty Rainforest,"{T}, Pay 1 life, Sacrifice Misty Rainforest: Search your library for a Forest or Island card, put it onto the battlefield, then shuffle your library.",42,Blue Green ,2,1.4501394212634973
Mutavault,"{T}: Add {C}.
{1}: Mutavault becomes a 2/2 creature with all creature types until end of turn. It's still a land.",57,White Blue Black Red Green,4,1.3290267174772998
Needle Spires,"Needle Spires enters the battlefield tapped.
{T}: Add {R} or {W}.
{2}{R}{W}: Needle Spires becomes a 2/1 red and white Elemental creature with double strike until end of turn. It's still a land.",31,White Red ,2,0.47132758726649904
"Nykthos, Shrine to Nyx","{T}: Add {C}.
{2}, {T}: Choose a color. Add an amount of mana of that color equal to your devotion to that color. (Your devotion to a color is the number of mana symbols of that color in the mana costs of permanents you control.)",4,White Blue Black Red Green,4,0
"Oran-Rief, the Vastwood","Oran-Rief, the Vastwood enters the battlefield tapped.
{T}: Add {G}.
{T}: Put a +1/+1 counter on each green creature that entered the battlefield this turn.",1,Green ,1,0
Overgrown Tomb,"({T}: Add {B} or {G}.)
As Overgrown Tomb enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",49,Black Green ,2,2.073019679261587
Plateau,({T}: Add {R} or {W}.),32,White Red ,2,0.5603104812662262
Polluted Delta,"{T}, Pay 1 life, Sacrifice Polluted Delta: Search your library for an Island or Swamp card, put it onto the battlefield, then shuffle your library.",60,Blue Black ,2,3.051831513258585
Raging Ravine,"Raging Ravine enters the battlefield tapped.
{T}: Add {R} or {G}.
{2}{R}{G}: Until end of turn, Raging Ravine becomes a 3/3 red and green Elemental creature with ""Whenever this creature attacks, put a +1/+1 counter on it."" It's still a land.",24,Red Green ,2,0
Razorverge Thicket,"Razorverge Thicket enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {G} or {W}.",9,White Green ,2,0
Rishadan Port,"{T}: Add {C}.
{1}, {T}: Tap target land.",35,White Blue Black Red Green,4,0.32719693298299013
Rootbound Crag,"Rootbound Crag enters the battlefield tapped unless you control a Mountain or a Forest.
{T}: Add {R} or {G}.",1,Red Green ,2,0
Sacred Foundry,"({T}: Add {R} or {W}.)
As Sacred Foundry enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",39,White Red ,2,1.183190739264316
Savannah,({T}: Add {G} or {W}.),50,White Green ,2,2.162002573261314
Scalding Tarn,"{T}, Pay 1 life, Sacrifice Scalding Tarn: Search your library for an Island or Mountain card, put it onto the battlefield, then shuffle your library.",47,Blue Red ,2,1.8950538912621329
Scattered Groves,"({T}: Add {G} or {W}.)
Scattered Groves enters the battlefield tapped.
Cycling {2} ({2}, Discard this card: Draw a card.)",1,White Green ,2,0
Scrubland,({T}: Add {W} or {B}.),53,White Black ,2,2.4289512552604955
Seachrome Coast,"Seachrome Coast enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {W} or {U}.",13,White Blue ,2,0
Shambling Vent,"Shambling Vent enters the battlefield tapped.
{T}: Add {W} or {B}.
{1}{W}{B}: Shambling Vent becomes a 2/3 white and black Elemental creature with lifelink until end of turn. It's still a land.",36,White Black ,2,0.9162420572651346
Shelldock Isle,"Hideaway (This land enters the battlefield tapped. When it does, look at the top four cards of your library, exile one face down, then put the rest on the bottom of your library.)
{T}: Add {U}.
{U}, {T}: You may play the exiled card without paying its mana cost if a library has twenty or fewer cards in it.",18,Blue ,1,0.3565877770690339
Shivan Reef,"{T}: Add {C}.
{T}: Add {U} or {R}. Shivan Reef deals 1 damage to you.",27,Blue Red ,2,0.11539601126759058
Spirebluff Canal,"Spirebluff Canal enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {U} or {R}.",9,Blue Red ,2,0
Steam Vents,"({T}: Add {U} or {R}.)
As Steam Vents enters the battlefield, you may pay 2 life. If you don't, Steam Vents enters the battlefield tapped.",44,Blue Red ,2,1.6281052092629515
