deckID,number,name,location,color,cmc,manaCost,power,toughness,text,types,subtypes,colors,baseColors,splashes,sphere,archetype,powered
1,1,Go for the Throat,MB,Black,2,{1}{B},NA,NA,Destroy target nonartifact creature.,Instant,NA,green black,green black,-,midrange,-,FALSE
1,1,Elvish Mystic,MB,Green,1,{G},1,1,{T}: Add {G}.,Creature,Elf Druid,green black,green black,-,midrange,-,FALSE
1,1,Mox Diamond,MB,Colorless,0,{0},NA,NA,"If Mox Diamond would enter the battlefield, you may discard a land card instead. If you do, put Mox Diamond onto the battlefield. If you don't, put it into its owner's graveyard.
{T}: Add one mana of any color.",Artifact,NA,green black,green black,-,midrange,-,FALSE
1,1,Sylvan Advocate,MB,Green,2,{1}{G},2,3,"Vigilance
As long as you control six or more lands, Sylvan Advocate and land creatures you control get +2/+2.",Creature,Elf Druid Ally,green black,green black,-,midrange,-,FALSE
1,1,Damnation,MB,Black,4,{2}{B}{B},NA,NA,Destroy all creatures. They can't be regenerated.,Sorcery,NA,green black,green black,-,midrange,-,FALSE
1,1,Overgrown Tomb,MB,Colorless,0,NA,NA,NA,"({T}: Add {B} or {G}.)
As Overgrown Tomb enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",Land,Swamp Forest,green black,green black,-,midrange,-,FALSE
1,1,Verdant Catacombs,MB,Colorless,0,NA,NA,NA,"{T}, Pay 1 life, Sacrifice Verdant Catacombs: Search your library for a Swamp or Forest card, put it onto the battlefield, then shuffle your library.",Land,NA,green black,green black,-,midrange,-,FALSE
1,1,Garruk Relentless,MB,Green,4,{3}{G},NA,NA,"When Garruk Relentless has two or fewer loyalty counters on him, transform him.
0: Garruk Relentless deals 3 damage to target creature. That creature deals damage equal to its power to him.
0: Create a 2/2 green Wolf creature token.",Planeswalker,Garruk,green black,green black,-,midrange,-,FALSE
1,1,"Nissa, Vastwood Seer",MB,Green,3,{2}{G},2,2,"When Nissa, Vastwood Seer enters the battlefield, you may search your library for a basic Forest card, reveal it, put it into your hand, then shuffle your library.
Whenever a land enters the battlefield under your control, if you control seven or more lands, exile Nissa, then return her to the battlefield transformed under her owner's control.",Creature,Elf Scout,green black,green black,-,midrange,-,FALSE
1,1,Dark Ritual,MB,Black,1,{B},NA,NA,Add {B}{B}{B}.,Instant,NA,green black,green black,-,midrange,-,FALSE
1,1,Ravenous Chupacabra,MB,Black,4,{2}{B}{B},2,2,"When Ravenous Chupacabra enters the battlefield, destroy target creature an opponent controls.",Creature,Beast Horror,green black,green black,-,midrange,-,FALSE
1,1,Sinkhole,MB,Black,2,{B}{B},NA,NA,Destroy target land.,Sorcery,NA,green black,green black,-,midrange,-,FALSE
1,1,Assassin's Trophy,MB,Black Green,2,{B}{G},NA,NA,"Destroy target permanent an opponent controls. Its controller may search their library for a basic land card, put it onto the battlefield, then shuffle their library.",Instant,NA,green black,green black,-,midrange,-,FALSE
1,1,Ophiomancer,MB,Black,3,{2}{B},2,2,"At the beginning of each upkeep, if you control no Snakes, create a 1/1 black Snake creature token with deathtouch.",Creature,Human Shaman,green black,green black,-,midrange,-,FALSE
1,1,Tarmogoyf,MB,Green,2,{1}{G},*,1+*,Tarmogoyf's power is equal to the number of card types among cards in all graveyards and its toughness is equal to that number plus 1.,Creature,Lhurgoyf,green black,green black,-,midrange,-,FALSE
