Name,sb%
Abbot of Keral Keep,36.8
Abrade,12.8
Abrupt Decay,35
Abyssal Persecutor,0
Academy Ruins,25
Accorder Paladin,33.3
Acidic Slime,20
Adanto Vanguard,38.8
Adarkar Wastes,0
Adorned Pouncer,11.1
Aether Chaser,63.6
Aether Hub,3.8
Aetherling,47.4
Ahn-Crop Crasher,0
Ajani Vengeant,34.4
"Ajani, Mentor of Heroes",0
"Ajani, the Greathearted",100
"Alesha, Who Smiles at Death",40
Ammit Eternal,0
"Anafenza, Kin-Tree Spirit",0
Ancestral Recall,3.6
Ancestral Vision,12
Ancient Grudge,33.3
Ancient Stirrings,100
Ancient Stone Idol,55.6
Ancient Tomb,2.6
Angel of Invention,13.9
Angel of Sanctions,44.4
Angel of Serenity,56.2
Angrath's Rampage,100
Anguished Unmaking,33.3
Animate Dead,26.7
Ankh of Mishra,0
Arbor Elf,10.8
Arc Lightning,33.3
Arc Trail,21.9
Arcane Artisan,42.9
Arcane Denial,28
Archangel Avacyn,34.4
Archangel of Thune,66.7
Arguel's Blood Fast,66.7
Arid Mesa,0
Arlinn Kord,66.7
Armageddon,40.5
As Foretold,0
Ash Barrens,5.3
Ash Zealot,0
Ashen Rider,100
"Ashiok, Nightmare Weaver",22.2
Assassin's Trophy,56.2
Asylum Visitor,0
Augur of Bolas,83.3
"Aurelia, Exemplar of Justice",66.7
"Avacyn, Angel of Hope",33.3
Avacyn's Pilgrim,15
Avalanche Riders,57.1
Avatar of the Resolute,100
Avenger of Zendikar,33.3
Awakening Zone,25
Azorius Signet,0
Badlands,17.1
Balance,13.6
Baleful Strix,2.3
Baneslayer Angel,33.3
Banisher Priest,46.2
Banishing Light,15.4
"Baral, Chief of Compliance",22.2
Basalt Monolith,0
Batterskull,25
Battlefield Forge,30.3
Bayou,23.8
Bazaar of Baghdad,57.1
Beast Within,100
Bedevil,0
Benalish Marshal,0
Berserk,0
Biogenic Ooze,57.1
Birds of Paradise,2.1
Birthing Pod,36.4
Bitterblossom,11.4
Black Lotus,0
Blackcleave Cliffs,50
Blade Splicer,18.5
Blast Zone,33.3
Blightsteel Colossus,9.5
Blink of an Eye,80
Blinkmoth Nexus,60
Blood Artist,0
Blood Crypt,11.8
