name,color,cmc,manaCost,power,toughness,text,types,subtypes
Adorable Kitten, White,1,{W},1,1,"When this creature enters the battlefield, roll a six-sided die. You gain life equal to the result.", Host Creature, Cat
Aerial Toastmaster, White,4,{3}{W},3,2,"Flying
{3}{W}, Sacrifice another artifact: Aerial Toastmaster assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)", Artifact Creature, Cyborg Rigger
Amateur Auteur, White,2,{1}{W},2,2,Sacrifice Amateur Auteur: Destroy target enchantment., Creature, Human
By Gnome Means, White,3,{2}{W},,,"{1}{W}, Remove a counter from a permanent you control: Create a 1/1 colorless Gnome artifact creature token.
{1}{W}, Sacrifice an artifact: Choose any kind of counter a printed card refers to, then put one of that counter on target permanent.", Enchantment,
Chivalrous Chevalier, White,5,{4}{W},3,3,"Flying
When Chivalrous Chevalier enters the battlefield, return a creature you control to its owner's hand unless you compliment an opponent.", Artifact Creature, Cyborg Knight
Do-It-Yourself Seraph, White,6,{4}{W}{W},4,4,"Flying
Whenever Do-It-Yourself Seraph attacks, you may search your library for an artifact card, exile it, then shuffle your library.
Do-It-Yourself Seraph has the text box of each card exiled with Do-It-Yourself Seraph in addition to its own.", Artifact Creature, Cyborg Angel
Gimme Five, White,1,{W},,,You gain 1 life for each person who high-fives you in the next thirty seconds. Each player in a silver-bordered game who high-fives you gains 1 life. (Offer high fives. Don't hit people.), Instant,
GO TO JAIL, White,1,{W},,,"When GO TO JAIL enters the battlefield, exile target creature an opponent controls until GO TO JAIL leaves the battlefield.
At the beginning of the upkeep of the exiled card's owner, that player rolls two six-sided dice. If they roll doubles, sacrifice GO TO JAIL.", Enchantment,
"Half-Kitten, Half-", White,0,,+1,+2,"Whenever you're dealt damage,
Augment {2}{W} ({2}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)", Creature, Cat
Humming-, White,0,,+2,+3,"Flying
Whenever you attack with two or more creatures,
Augment {3}{W} ({3}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)", Creature, Bird
Jackknight, White,2,{1}{W},1,1,"Whenever another artifact enters the battlefield under your control, put a +1/+1 counter on Jackknight. If that artifact is a Contraption, Jackknight gains lifelink until end of turn.", Artifact Creature, Cyborg Knight
Knight of the Kitchen Sink (a), White,2,{W}{W},2,2,"First strike, protection from black borders (Nothing with a black border can block, target, deal damage to, or attach to this creature.)", Artifact Creature, Cyborg Knight
Knight of the Kitchen Sink (b), White,2,{W}{W},2,2,"First strike, protection from even collector numbers (Nothing with an even collector number can block, target, deal damage to, or attach to this creature.)", Artifact Creature, Cyborg Knight
Knight of the Kitchen Sink (c), White,2,{W}{W},2,2,"First strike, protection from loose lips (Nothing with an open mouth in its artwork can block, target, deal damage to, or attach to this creature.)", Artifact Creature, Cyborg Knight
Knight of the Kitchen Sink (d), White,2,{W}{W},2,2,"First strike, protection from odd collector numbers (Nothing with an odd collector number can block, target, deal damage to, or attach to this creature.)", Artifact Creature, Cyborg Knight
Knight of the Kitchen Sink (e), White,2,{W}{W},2,2,"First strike, protection from two-word names (Nothing with exactly two words in its name can block, target, deal damage to, or attach to this creature. Hyphenated words are one word.)", Artifact Creature, Cyborg Knight
Knight of the Kitchen Sink (f), White,2,{W}{W},2,2,"First strike, protection from watermarks (Nothing with a watermark can block, target, deal damage to, or attach to this creature.)", Artifact Creature, Cyborg Knight
Knight of the Widget, White,3,{2}{W},*,*,"Vigilance
Knight of the Widget's power and toughness are each equal to the number of Order of the Widget watermarks among permanents you control.", Artifact Creature, Cyborg Knight
Midlife Upgrade, White,4,{3}{W},,,"As an additional cost to cast this spell, sacrifice X Contraptions.
Assemble X plus one Contraptions. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)", Sorcery,
Oddly Uneven, White,5,{3}{W}{W},,,"Choose one —
• Destroy each creature with an odd number of words in its name. (Hyphenated words are one word.)
• Destroy each creature with an even number of words in its name.", Sorcery,
Old Guard, White,2,{1}{W},2,1,"{W}, {T}: Tap target creature without reminder text. (Reminder text is still any italicized text in parentheses that explains rules you already know.)", Artifact Creature, Cyborg Soldier
Ordinary Pony, White,3,{2}{W},2,3,"When this creature enters the battlefield, you may exile target non-Horse creature you control that wasn't put onto the battlefield with this ability this turn, then return it to the battlefield under its owner's control.", Host Creature, Horse
Rhino-, White,0,,+1,+4,"Whenever this creature blocks,
Augment {3}{W} ({3}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)", Creature, Rhino
Riveting Rigger, White,3,{2}{W},2,2,"When Riveting Rigger enters the battlefield, you may sacrifice another artifact. If you do, put two +1/+1 counters on Riveting Rigger and it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)", Artifact Creature, Cyborg Rigger
Rules Lawyer, White,5,{3}{W}{W},1,1,"State-based actions don't apply to you or other permanents you control. (You don't lose the game due to having 0 or less life or drawing from an empty library. Your creatures aren't destroyed due to damage or deathtouch and aren't put into a graveyard due to having 0 or less toughness. Your planeswalkers aren't put into a graveyard if they have 0 loyalty. You don't put a legendary permanent into a graveyard if you control two with the same name. Counters aren't removed from your permanents due to game rules. Permanents you control attached or combined illegally remain on the battlefield. For complete rules and regulations, see rule 704.)", Artifact Creature, Cyborg Advisor
Sacrifice Play, White,3,{2}{W},,,A person outside the game chooses an attacking or blocking creature target opponent controls. That player sacrifices that creature., Instant,
Shaggy Camel, White,4,{3}{W},3,3,"When this creature enters the battlefield, creatures you control get +1/+1 until end of turn.", Host Creature, Camel
Side Quest, White,1,{W},,,"Target player in a silver-bordered game you can see from your seat gains control of target creature you control until your next turn. At the beginning of your next upkeep, put two +1/+1 counters on that creature. (A creature is on the battlefield of only the game its controller is playing.)", Sorcery,
Success!, White,1,{W},,,"Target creature gets +2/+2 until end of turn. If it's a host or has augment, it gains lifelink until end of turn.", Instant,
Teacher's Pet, White,2,{1}{W},2,1,"{2}{W}, Sacrifice Teacher's Pet: Search your library for a card with augment, combine it with target host you control, then shuffle your library.", Creature, Cat Bird Scientist
Animate Library, Blue,6,{4}{U}{U},,,"Enchant your library
Enchanted library is an artifact creature on the battlefield with power and toughness each equal to the number of cards in it. It's still a library.
If enchanted library would leave the battlefield, exile Animate Library instead.", Enchantment, Aura
Blurry Beeble, Blue,1,{U},1,1,"Blurry (This creature can be blocked only if defending player was wearing glasses as it was cast.)
Whenever Blurry Beeble deals combat damage to a player, you may draw a card. If you do, discard a card.", Artifact Creature, Cyborg Beeble
Chipper Chopper, Blue,4,{3}{U},1,1,"Flying
When Chipper Chopper enters the battlefield, you may sacrifice another artifact. If you do, put two +1/+1 counters on Chipper Chopper and it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)", Artifact Creature, Cyborg Rigger
Clocknapper, Blue,5,{3}{U}{U},2,2,"When Clocknapper enters the battlefield, choose beginning phase, precombat main phase, combat phase, postcombat main phase, or ending phase. Steal that phase from target player during their next turn. (That phase occurs as though it's your turn instead.)", Creature, Human Spy
Crafty Octopus, Blue,3,{2}{U},1,3,"When this creature enters the battlefield, this creature assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)", Host Creature, Octopus Rigger
Crow Storm, Blue,3,{2}{U},,,"Create a 1/2 blue Bird creature token with flying named Storm Crow.
Storm (When you cast this spell, copy it for each spell cast before it this turn.)", Sorcery,
Defective Detective, Blue,3,{2}{U},2,1,"Defective Detective can't be blocked.
When Defective Detective enters the battlefield, a person outside the game looks at target opponent's hand and chooses a card from it. That player reveals that card.", Creature, Human Spy
Five-Finger Discount, Blue,6,{4}{U}{U},,,Put target nonland permanent into your hand. You may spend mana as though it were mana of any color the next time you cast that card., Sorcery,
Graveyard Busybody, Blue,6,{4}{U}{U},*,*,"All graveyards are also your graveyards.
Graveyard Busybody's power and toughness are each equal to the number of cards with flavor text in your graveyards.", Creature, Human Spy
"Half-Shark, Half-", Blue,0,,+3,+3,"At the beginning of your upkeep,
Augment {5}{U} ({5}{U}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)", Creature, Fish
