deckID, location, number, name,
0,MB,1,"Go for the Throat",
0,MB,1,"Elvish Mystic",
0,MB,1,"Mox Diamond",
0,MB,1,"Sylvan Advocate",
0,MB,1,"Damnation",
0,MB,1,"Overgrown Tomb",
0,MB,1,"Verdant Catacombs",
0,MB,1,"Garruk Relentless",
0,MB,1,"Nissa, Vastwood Seer",
0,MB,1,"Dark Ritual",
0,MB,1,"Ravenous Chupacabra",
0,MB,1,"Sinkhole",
0,MB,1,"Assassins Trophy",
0,MB,1,"Ophiomancer",
0,MB,1,"Tarmogoyf",
0,MB,1,"Scavenging Ooze",
0,MB,1,"Bayou",
0,MB,5,"Forest",
0,MB,1,"Nissa, Worldwaker",
0,MB,1,"Liliana, the Last Hope",
0,MB,1,"Maelstrom Pulse",
0,MB,6,"Swamp",
0,MB,1,"Bitterblossom",
0,MB,1,"Hissing Quagmire",
0,MB,1,"Noble Hierarch",
0,MB,1,"Deathrite Shaman",
0,MB,1,"Curse of Predation",
0,MB,1,"Heros Downfall",
0,MB,1,"Mutavault",
0,MB,1,"Vraska, Golgari Queen",
0,MB,1,"Duress",
0,SB,1,"Exclusion Mage",
0,SB,1,"Kodamas Reach",
0,SB,1,"Recurring Nightmare",
0,SB,1,"Rofellos, Llanowar Emissary",
0,SB,1,"Fyndhorn Elves",
0,SB,1,"Land Tax",
0,SB,1,"Fractured Identity",
0,SB,1,"Through the Breach",
0,SB,1,"Saheeli, the Gifted",
0,SB,1,"Lavaclaw Reaches",
0,SB,1,"Needle Spires",
0,SB,1,"Show and Tell",
0,SB,1,"Geist of Saint Traft",
0,SB,1,"Moat",
0,SB,1,"Eureka",
0,SB,1,"Thirst for Knowledge",
1,MB,1,"Mana Tithe",
1,MB,1,"Underground Sea",
1,MB,1,"Unexpectedly Absent",
1,MB,1,"Umezawas Jitte",
1,MB,1,"Teferi, Hero of Dominaria",
1,MB,1,"Selfless Spirit",
1,MB,1,"Mishras Factory",
1,MB,1,"Phyrexian Revoker",
1,MB,1,"Dismember",
1,MB,1,"Stoneforge Mystic",
1,MB,1,"Porcelain Legionnaire",
1,MB,1,"Gideon, Ally of Zendikar",
1,MB,1,"Mulldrifter",
1,MB,1,"Armageddon",
1,MB,1,"Spell Pierce",
1,MB,1,"Hallowed Fountain",
1,MB,6,"Island",
1,MB,1,"Counterspell",
1,MB,1,"True-Name Nemesis",
1,MB,8,"Plains",
1,MB,1,"Vendilion Clique",
1,MB,1,"Ancestral Recall",
1,MB,1,"Councils Judgment",
1,MB,1,"Monastery Mentor",
1,MB,1,"Geist of Saint Traft",
1,MB,1,"Lightning Greaves",
1,MB,1,"Adanto Vanguard",
1,MB,1,"Mana Leak",
1,SB,1,"Linvala, Keeper of Silence",
1,SB,1,"Mother of Runes",
