deckID,number,name,location,color,cmc,manaCost,power,toughness,text,types,subtypes
1,1,Go for the Throat,MB,Black,2,{1}{B},NA,NA,Destroy target nonartifact creature.,Instant,NA
1,1,Elvish Mystic,MB,Green,1,{G},1,1,{T}: Add {G}.,Creature,Elf Druid
1,1,Mox Diamond,MB,Colorless,0,{0},NA,NA,"If Mox Diamond would enter the battlefield, you may discard a land card instead. If you do, put Mox Diamond onto the battlefield. If you don't, put it into its owner's graveyard.
{T}: Add one mana of any color.",Artifact,NA
1,1,Sylvan Advocate,MB,Green,2,{1}{G},2,3,"Vigilance
As long as you control six or more lands, Sylvan Advocate and land creatures you control get +2/+2.",Creature,Elf Druid Ally
1,1,Damnation,MB,Black,4,{2}{B}{B},NA,NA,Destroy all creatures. They can't be regenerated.,Sorcery,NA
1,1,Overgrown Tomb,MB,Colorless,0,NA,NA,NA,"({T}: Add {B} or {G}.)
As Overgrown Tomb enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",Land,Swamp Forest
1,1,Verdant Catacombs,MB,Colorless,0,NA,NA,NA,"{T}, Pay 1 life, Sacrifice Verdant Catacombs: Search your library for a Swamp or Forest card, put it onto the battlefield, then shuffle your library.",Land,NA
1,1,Garruk Relentless,MB,Green,4,{3}{G},NA,NA,"When Garruk Relentless has two or fewer loyalty counters on him, transform him.
0: Garruk Relentless deals 3 damage to target creature. That creature deals damage equal to its power to him.
0: Create a 2/2 green Wolf creature token.",Planeswalker,Garruk
1,1,"Nissa, Vastwood Seer",MB,Green,3,{2}{G},2,2,"When Nissa, Vastwood Seer enters the battlefield, you may search your library for a basic Forest card, reveal it, put it into your hand, then shuffle your library.
Whenever a land enters the battlefield under your control, if you control seven or more lands, exile Nissa, then return her to the battlefield transformed under her owner's control.",Creature,Elf Scout
1,1,Dark Ritual,MB,Black,1,{B},NA,NA,Add {B}{B}{B}.,Instant,NA
1,1,Ravenous Chupacabra,MB,Black,4,{2}{B}{B},2,2,"When Ravenous Chupacabra enters the battlefield, destroy target creature an opponent controls.",Creature,Beast Horror
1,1,Sinkhole,MB,Black,2,{B}{B},NA,NA,Destroy target land.,Sorcery,NA
1,1,Assassin's Trophy,MB,Black Green,2,{B}{G},NA,NA,"Destroy target permanent an opponent controls. Its controller may search their library for a basic land card, put it onto the battlefield, then shuffle their library.",Instant,NA
1,1,Ophiomancer,MB,Black,3,{2}{B},2,2,"At the beginning of each upkeep, if you control no Snakes, create a 1/1 black Snake creature token with deathtouch.",Creature,Human Shaman
1,1,Tarmogoyf,MB,Green,2,{1}{G},*,1+*,Tarmogoyf's power is equal to the number of card types among cards in all graveyards and its toughness is equal to that number plus 1.,Creature,Lhurgoyf
1,1,Scavenging Ooze,MB,Green,2,{1}{G},2,2,"{G}: Exile target card from a graveyard. If it was a creature card, put a +1/+1 counter on Scavenging Ooze and you gain 1 life.",Creature,Ooze
1,1,Bayou,MB,Colorless,0,NA,NA,NA,({T}: Add {B} or {G}.),Land,Swamp Forest
1,1,"Nissa, Worldwaker",MB,Green,5,{3}{G}{G},NA,NA,"+1: Target land you control becomes a 4/4 Elemental creature with trample. It's still a land.
+1: Untap up to four target Forests.
−7: Search your library for any number of basic land cards, put them onto the battlefield, then shuffle your library. Those lands become 4/4 Elemental creatures with trample. They're still lands.",Planeswalker,Nissa
1,1,"Liliana, the Last Hope",MB,Black,3,{1}{B}{B},NA,NA,"+1: Up to one target creature gets -2/-1 until your next turn.
−2: Put the top two cards of your library into your graveyard, then you may return a creature card from your graveyard to your hand.
−7: You get an emblem with ""At the beginning of your end step, create X 2/2 black Zombie creature tokens, where X is two plus the number of Zombies you control.""",Planeswalker,Liliana
1,1,Maelstrom Pulse,MB,Black Green,3,{1}{B}{G},NA,NA,Destroy target nonland permanent and all other permanents with the same name as that permanent.,Sorcery,NA
1,1,Bitterblossom,MB,Black,2,{1}{B},NA,NA,"At the beginning of your upkeep, you lose 1 life and create a 1/1 black Faerie Rogue creature token with flying.",Tribal Enchantment,Faerie
1,1,Hissing Quagmire,MB,Colorless,0,NA,NA,NA,"Hissing Quagmire enters the battlefield tapped.
{T}: Add {B} or {G}.
{1}{B}{G}: Hissing Quagmire becomes a 2/2 black and green Elemental creature with deathtouch until end of turn. It's still a land.",Land,NA
1,1,Noble Hierarch,MB,Green,1,{G},0,1,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
{T}: Add {G}, {W}, or {U}.",Creature,Human Druid
1,1,Deathrite Shaman,MB,Colorless,1,{B/G},1,2,"{T}: Exile target land card from a graveyard. Add one mana of any color.
{B}, {T}: Exile target instant or sorcery card from a graveyard. Each opponent loses 2 life.
{G}, {T}: Exile target creature card from a graveyard. You gain 2 life.",Creature,Elf Shaman
1,1,Curse of Predation,MB,Green,3,{2}{G},NA,NA,"Enchant player
Whenever a creature attacks enchanted player, put a +1/+1 counter on it.",Enchantment,Aura Curse
1,1,Hero's Downfall,MB,Black,3,{1}{B}{B},NA,NA,Destroy target creature or planeswalker.,Instant,NA
