deckID,number,name,location,deckName,color,cmc,manaCost,power,toughness,text,types,subtypes
1,1,Sensei's Divining Top,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,1,{1},NA,NA,"{1}: Look at the top three cards of your library, then put them back in any order.
{T}: Draw a card, then put Sensei's Divining Top on top of its owner's library.",Artifact,NA
1,1,Bloodstained Mire,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,"{T}, Pay 1 life, Sacrifice Bloodstained Mire: Search your library for a Swamp or Mountain card, put it onto the battlefield, then shuffle your library.",Land,NA
1,1,Dire Fleet Daredevil,MB,(WUBRG) 5 Color Control 11.6.18.dck,Red,2,{1}{R},2,1,"First strike
When Dire Fleet Daredevil enters the battlefield, exile target instant or sorcery card from an opponent's graveyard. You may cast that card this turn, and you may spend mana as though it were mana of any type to cast that spell. If that card would be put into a graveyard this turn, exile it instead.",Creature,Human Pirate
1,1,Mox Diamond,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,{0},NA,NA,"If Mox Diamond would enter the battlefield, you may discard a land card instead. If you do, put Mox Diamond onto the battlefield. If you don't, put it into its owner's graveyard.
{T}: Add one mana of any color.",Artifact,NA
1,1,Condescend,MB,(WUBRG) 5 Color Control 11.6.18.dck,Blue,1,{X}{U},NA,NA,"Counter target spell unless its controller pays {X}. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",Instant,NA
1,1,Damnation,MB,(WUBRG) 5 Color Control 11.6.18.dck,Black,4,{2}{B}{B},NA,NA,Destroy all creatures. They can't be regenerated.,Sorcery,NA
1,1,Bayou,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,({T}: Add {B} or {G}.),Land,Swamp Forest
1,1,Battlefield Forge,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,"{T}: Add {C}.
{T}: Add {R} or {W}. Battlefield Forge deals 1 damage to you.",Land,NA
1,1,Kolaghan's Command,MB,(WUBRG) 5 Color Control 11.6.18.dck,Black Red,3,{1}{B}{R},NA,NA,"Choose two —
• Return target creature card from your graveyard to your hand.
• Target player discards a card.
• Destroy target artifact.
• Kolaghan's Command deals 2 damage to any target.",Instant,NA
1,1,Sulfurous Springs,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,"{T}: Add {C}.
{T}: Add {B} or {R}. Sulfurous Springs deals 1 damage to you.",Land,NA
1,1,Mind Twist,MB,(WUBRG) 5 Color Control 11.6.18.dck,Black,1,{X}{B},NA,NA,Target player discards X cards at random.,Sorcery,NA
1,1,Sylvan Library,MB,(WUBRG) 5 Color Control 11.6.18.dck,Green,2,{1}{G},NA,NA,"At the beginning of your draw step, you may draw two additional cards. If you do, choose two cards in your hand drawn this turn. For each of those cards, pay 4 life or put the card on top of your library.",Enchantment,NA
