deckID,number,name,location,deckName,color,cmc,manaCost,power,toughness,types,subtypes
1,1,Sensei's Divining Top,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,1,{1},NA,NA,Artifact,NA
1,1,Bloodstained Mire,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,Land,NA
1,1,Dire Fleet Daredevil,MB,(WUBRG) 5 Color Control 11.6.18.dck,Red,2,{1}{R},2,1,Creature,Human Pirate
1,1,Mox Diamond,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,{0},NA,NA,Artifact,NA
1,1,Condescend,MB,(WUBRG) 5 Color Control 11.6.18.dck,Blue,1,{X}{U},NA,NA,Instant,NA
1,1,Damnation,MB,(WUBRG) 5 Color Control 11.6.18.dck,Black,4,{2}{B}{B},NA,NA,Sorcery,NA
1,1,Bayou,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,Land,Swamp Forest
1,1,Battlefield Forge,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,Land,NA
1,1,Kolaghan's Command,MB,(WUBRG) 5 Color Control 11.6.18.dck,Black Red,3,{1}{B}{R},NA,NA,Instant,NA
1,1,Sulfurous Springs,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,Land,NA
1,1,Mind Twist,MB,(WUBRG) 5 Color Control 11.6.18.dck,Black,1,{X}{B},NA,NA,Sorcery,NA
1,1,Sylvan Library,MB,(WUBRG) 5 Color Control 11.6.18.dck,Green,2,{1}{G},NA,NA,Enchantment,NA
1,1,Evolving Wilds,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,Land,NA
1,1,Lingering Souls,MB,(WUBRG) 5 Color Control 11.6.18.dck,White,3,{2}{W},NA,NA,Sorcery,NA
1,1,The Abyss,MB,(WUBRG) 5 Color Control 11.6.18.dck,Black,4,{3}{B},NA,NA,Enchantment,NA
1,1,Mulldrifter,MB,(WUBRG) 5 Color Control 11.6.18.dck,Blue,5,{4}{U},2,2,Creature,Elemental
1,1,Creeping Tar Pit,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,Land,NA
1,1,Maelstrom Pulse,MB,(WUBRG) 5 Color Control 11.6.18.dck,Black Green,3,{1}{B}{G},NA,NA,Sorcery,NA
1,1,Sacred Foundry,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,Land,Mountain Plains
1,1,Forbid,MB,(WUBRG) 5 Color Control 11.6.18.dck,Blue,3,{1}{U}{U},NA,NA,Instant,NA
1,1,Arid Mesa,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,Land,NA
1,1,"Saheeli, the Gifted",MB,(WUBRG) 5 Color Control 11.6.18.dck,Blue Red,4,{2}{U}{R},NA,NA,Planeswalker,Saheeli
1,1,City of Brass,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,Land,NA
1,1,Dreadbore,MB,(WUBRG) 5 Color Control 11.6.18.dck,Black Red,2,{B}{R},NA,NA,Sorcery,NA
1,1,"Liliana, the Last Hope",MB,(WUBRG) 5 Color Control 11.6.18.dck,Black,3,{1}{B}{B},NA,NA,Planeswalker,Liliana
1,1,Vendilion Clique,MB,(WUBRG) 5 Color Control 11.6.18.dck,Blue,3,{1}{U}{U},3,1,Creature,Faerie Wizard
1,1,Ancestral Vision,MB,(WUBRG) 5 Color Control 11.6.18.dck,Blue,0,NA,NA,NA,Sorcery,NA
1,1,Volcanic Island,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,Land,Island Mountain
1,1,"Nicol Bolas, the Ravager",MB,(WUBRG) 5 Color Control 11.6.18.dck,Blue Black Red,4,{1}{U}{B}{R},4,4,Creature,Elder Dragon
1,1,Vampire Nighthawk,MB,(WUBRG) 5 Color Control 11.6.18.dck,Black,3,{1}{B}{B},2,3,Creature,Vampire Shaman
1,1,Incinerate,MB,(WUBRG) 5 Color Control 11.6.18.dck,Red,2,{1}{R},NA,NA,Instant,NA
1,1,"Tasigur, the Golden Fang",MB,(WUBRG) 5 Color Control 11.6.18.dck,Black,6,{5}{B},4,5,Creature,Human Shaman
1,1,Chain Lightning,MB,(WUBRG) 5 Color Control 11.6.18.dck,Red,1,{R},NA,NA,Sorcery,NA
1,1,Jace Beleren,MB,(WUBRG) 5 Color Control 11.6.18.dck,Blue,3,{1}{U}{U},NA,NA,Planeswalker,Jace
1,1,Coldsteel Heart,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,2,{2},NA,NA,Artifact,NA
1,1,Tinker,SB,(WUBRG) 5 Color Control 11.6.18.dck,Blue,3,{2}{U},NA,NA,Sorcery,NA
1,1,Dust Bowl,SB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,Land,NA
1,1,Rishadan Port,SB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,Land,NA
1,1,"Brimaz, King of Oreskos",SB,(WUBRG) 5 Color Control 11.6.18.dck,White,3,{1}{W}{W},3,4,Creature,Cat Soldier
1,1,Triskelion,SB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,6,{6},1,1,Artifact Creature,Construct
1,1,Goblin Guide,SB,(WUBRG) 5 Color Control 11.6.18.dck,Red,1,{R},2,2,Creature,Goblin Scout
1,1,Cultivate,SB,(WUBRG) 5 Color Control 11.6.18.dck,Green,3,{2}{G},NA,NA,Sorcery,NA
1,1,Council's Judgment,SB,(WUBRG) 5 Color Control 11.6.18.dck,White,3,{1}{W}{W},NA,NA,Sorcery,NA
1,1,"Thalia, Guardian of Thraben",SB,(WUBRG) 5 Color Control 11.6.18.dck,White,2,{1}{W},2,1,Creature,Human Soldier
1,1,Hero of Bladehold,SB,(WUBRG) 5 Color Control 11.6.18.dck,White,4,{2}{W}{W},3,4,Creature,Human Knight
2,1,Caves of Koilos,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Colorless,0,NA,NA,NA,Land,NA
2,1,Godless Shrine,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Colorless,0,NA,NA,NA,Land,Plains Swamp
2,1,Scrubland,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Colorless,0,NA,NA,NA,Land,Plains Swamp
2,1,Terramorphic Expanse,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Colorless,0,NA,NA,NA,Land,NA
2,1,Tundra,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Colorless,0,NA,NA,NA,Land,Plains Island
2,1,Brainstorm,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Blue,1,{U},NA,NA,Instant,NA
2,1,Condescend,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Blue,1,{X}{U},NA,NA,Instant,NA
2,1,Land Tax,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,White,1,{W},NA,NA,Enchantment,NA
2,1,Mind Twist,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Black,1,{X}{B},NA,NA,Sorcery,NA
2,1,Ancestral Vision,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Blue,0,NA,NA,NA,Sorcery,NA
2,1,Coldsteel Heart,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Colorless,2,{2},NA,NA,Artifact,NA
2,1,Mana Leak,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Blue,2,{1}{U},NA,NA,Instant,NA
2,1,Memory Lapse,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Blue,2,{1}{U},NA,NA,Instant,NA
2,1,Scroll Rack,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Colorless,2,{2},NA,NA,Artifact,NA
2,1,Banishing Light,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,White,3,{2}{W},NA,NA,Enchantment,NA
2,1,Coalition Relic,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Colorless,3,{3},NA,NA,Artifact,NA
2,1,Forbid,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Blue,3,{1}{U}{U},NA,NA,Instant,NA
2,1,Jace Beleren,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Blue,3,{1}{U}{U},NA,NA,Planeswalker,Jace
2,1,Psychatog,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Blue Black,3,{1}{U}{B},1,2,Creature,Atog
2,1,True-Name Nemesis,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Blue,3,{1}{U}{U},3,1,Creature,Merfolk Rogue
