sphere, archetype
"combo control", "reanimator artifacts"
"midrange", ""
"midrange", ""
"midrange", ""
"midrange", ""
"midrange", ""
"control", ""
"control", ""
"control", ""
"control", ""
"control", ""
"control", ""
"control", ""
"control", ""
"midrange", ""
"aggro", ""
"aggro", ""
"aggro", ""
"aggro", ""
"aggro", ""
"ramp", ""
"ramp", "wildfire"
"aggro", ""
"midrange", ""
"ramp", ""
"ramp", "reanimator"
"midrange", ""
"aggro", ""
"aggro", ""
"midrange", ""
"midrange", ""
"control", ""
"midrange combo", "twin"
"control combo", "cheat"
"control combo", "cheat"
"midrange", ""
"midrange", ""
"midrange", ""
"midrange combo", "reanimator cheat"
"control combo", "reanimator"
"control combo", "cheat"
"aggro", ""
"aggro", ""
"ramp", ""
"aggro", ""
"aggro", ""
"ramp", ""
"control", "artifacts"
"midrange combo", "reanimator"
"control combo", "cheat"
"control", ""
"control combo", "twin"
"midrange", ""
"midrange", ""
"midrange", ""
"combo", "reanimator cheat"
"aggro", ""
"midrange", ""
"midrange", ""
"combo", "cheat"
"midrange", ""
"midrange combo", "reanimator"
"midrange", "opposition"
"control", ""
"control", "artifacts"
"control ramp", ""
